QUEST_LV_0400_20161212_000001	Kedoran Alliance Merchant Alta	케도라 상단원 알타
QUEST_LV_0400_20161212_001106	Bicara kepada Vilhelmas	빌헬마스와 대화
QUEST_LV_0400_20161212_001107	Vilhelmas sepertinya membutuhkan bantuan untuk mengalahkan The beast. Bicaralah kepadanya.	빌헬마스는 괴수를 상대하는 데에 도움이 필요한 듯 보입니다. 그와 대화해보세요.
QUEST_LV_0400_20161212_001108	Kalahkan Monster yang ditunjukkan oleh Vilhelmas	빌헬마스가 지정한 몬스터 처치
QUEST_LV_0400_20161212_001109	Vilhelmas ingin menguji kemampuanmu untuk menghindari jatuhnya korban yang berlebihan. Tunjukkan kemampuanmu dengan mengalahkan Kugheri di area sekitar.	빌헬마스는 불필요한 희생을 막기 위해 실력을 시험해보겠다고 합니다. 그가 지시한대로 주변의 쿠게리들을 해치우고 능력을 보여주세요.
QUEST_LV_0400_20161212_001110	Kamu telah menyelesaikan semua tugas yang diberikan oleh Vilhelmas. Kembali dan laporkan hal tersebut kepadanya.	빌헬마스가 제시한 시험과제를 모두 완료하였습니다. 그에게 돌아가 보고하세요.
QUEST_LV_0400_20161212_001111	Kalahkan Kugheri di area sekitar	주변의 쿠게리 처치
QUEST_LV_0400_20161212_001112	Complicated Preparations	까다로운 준비 과정
QUEST_LV_0400_20161212_001113	Sepertinya Vilhelmas sedang mencari cara untuk menangani The beast. Tanyakan apakah kamu dapat membantunya.	빌헬마스는 괴수를 상대할 좋은 방법을 모색하고 있는 것 같습니다. 그를 도울 방법을 물어보세요.
QUEST_LV_0400_20161212_001114	Kumpulkan stimulated poison sacks dari Kugheri Tots	쿠게리 토트에게서 자극받은 독주머니 수집
QUEST_LV_0400_20161212_001115	Vilhelmas sedang mencoba mempersiapkan poison arrows untuk memberikan damage besar kepada beast. Kumpulkan stimulated poison sacks yang dia minta.{nl}Kamu bisa mendapatkan semuanya dari Vilhelmas Tots setelah menyiram mereka dengan stimulant.	빌헬마스는 먼저 괴수에게 치명상을 입힐 독화살을 준비 하려고 합니다. 그가 요구하는 자극받은 독주머니를 모아 주세요. {nl}자극받은 독주머니는 쿠게리 토트에게 자극제를 뿌린 후 처치하면 얻을 수 있습니다.
QUEST_LV_0400_20161212_001116	Kamu telah mengumpulkan cukup banyak poison sacks. Berikan semuanya kepada Vilhelmas.	필요한 만큼의 독주머니를 모두 모았습니다. 빌헬마스에게 전해주세요.
QUEST_LV_0400_20161212_001117	Vilhelmas sepertinya membutuhkan bahan untuk membuat poison. Tanyakan bahan apa lagi yang dia butuhkan.	빌헬마스가 사용하려는 독에는 또 다른 재료가 필요한 모양입니다. 그에게 어떤 재료를 모으면 되는지 물어보세요.
QUEST_LV_0400_20161212_001118	Lead Vilhelmas to the Yellow Wolfsbane	빌헬마스를 노란 투구꽃으로 인도
QUEST_LV_0400_20161212_001119	Vilhelmas berkata bahwa dia harus mengumpulkan Yellow Wolfsbane sendiri. Pandu dia ke area dimana Yellow Wolfsbane telah mekar di dekat Saalmas Falls.	빌헬마스는 노란 투구꽃이 필요한데 자신이 직접 수집해야 한다고 합니다. 그를 살마스 폭포 주변의 노란 투구꽃이 있는 장소로 인도하세요.
QUEST_LV_0400_20161212_001120	Kamu telah mengumpulkan semua bahan yang dibutuhkan. Pergi dan bicara kepada Vilhelmas di tempat persembunyiannya.	독의 재료가 모두 모인 것 같습니다. 빌헬마스의 은신처로 되돌아가 그와 대화하세요.
QUEST_LV_0400_20161212_001121	Kamu tidak memiliki cukup bahan untuk membuat traps. Tanyakan kepada Vilhelmas apa yang dia butuhkan.	독의 재료쪽은 모두 모였지만 함정을 만들기에는 부족한 것이 있는 것 같습니다. 빌헬마스에게 무엇이 필요한지 물어보세요.
QUEST_LV_0400_20161212_001122	Kumpulkan paralysis poison dari Kugheri Somys	쿠게리 소미에게서 마비약 모으기
QUEST_LV_0400_20161212_001123	Dia membutuhkan paralysis poison untuk trap tersebut. Kalahkan Kugheri Somy untuk mendapatkan paralysis poison.	마비 함정에 들어갈 마비약이 필요하다고 합니다. 쿠게리 소미들을 해치우고 그들이 가지고 다니는 마비약을 모아다 주세요.
QUEST_LV_0400_20161212_001124	Kamu telah mengumpulkan cukup banyak paralysis poison. berikan kepada Vilhelmas untuk membuat trap.	충분한 양의 마비약을 모았습니다. 빌헬마스에게 건네주고 함정을 만들게 하세요.
QUEST_LV_0400_20161212_001125	Kumpulkan %s dari Kugheri Somy	쿠게리 소미에게서 %s을 획득
QUEST_LV_0400_20161212_001126	To trap a beast	괴수를 함정으로 몰아넣기
QUEST_LV_0400_20161212_001127	Vilhelmas sepertinya telah membuat trap. Tanyakan kepadanya bagaimana dia akan menggunakannya.	빌헬마스가 마비 함정을 완성한 것 같습니다. 이제 그 함정을 사용할 방법을 물어보세요.
QUEST_LV_0400_20161212_001128	Pasang perangkap	길목에 함정 설치
QUEST_LV_0400_20161212_001129	Vilhelmas memintamu untuk memasang trap pada jalan menuju Saalmas Falls dari Tredhalai Stream.Bersembunyi setelah memasang ketiga Trap.	빌헬마스는 트레달라이 냇가에서 살마스 폭포로 올라가는 길목에 마비 함정을 설치하라고 합니다. 세 함정을 모두 설치 후 괴수의 눈에 띄지 않게 숨으세요.
QUEST_LV_0400_20161212_001130	menunggu beast	괴수를 기다리기
QUEST_LV_0400_20161212_001131	Kamu telah memasang semua traps. Tunggu hingga beast tiba.	마비 함정을 모두 설치했습니다. 괴수가 걸려들기를 기다리며 숨어 있으세요.
QUEST_LV_0400_20161212_001132	mengejar beast	괴수의 뒤를 쫓기
QUEST_LV_0400_20161212_001133	The beast telah melarikan diri dari Vilhelmas ke Absuptas Plateau. Ikuti Vilhelmas yang mengejar beast tersebut.	괴수는 빌헬마스를 피해 압수프타스 고원 방면으로 달아났습니다. 뒤를 쫓아간 빌헬마스를 따라 괴수를 추적하세요.
QUEST_LV_0400_20161212_001134	The Beast's Final Stand	괴수와의 마지막 결전
QUEST_LV_0400_20161212_001135	Critically Wounding the Beast	괴수에게 치명상입히기
QUEST_LV_0400_20161212_001136	Beast yang terpojok mulai menyerang. Lukai beast tersebut bersama Vilhelmas.	궁지에 몰린 괴수는 공격해오기 시작했습니다. 빌헬마스와 함께 괴수에게 치명상을 입히세요.
QUEST_LV_0400_20161212_001137	Vilhelmas sepertinya terluka. tanyakan tentang lukanya.	빌헬마스는 부상을 입은 듯 합니다. 우선 그의 상태가 어떤지 물어보세요.
QUEST_LV_0400_20161212_001138	Vilhelmas tidak dapat mengejar beast lebih jauh lagi. Coba berbicara kepadanya.	빌헬마스는 더 이상 괴수를 쫓을 수 없는 상태 같습니다. 우선 그와 대화해 보세요.
QUEST_LV_0400_20161212_001139	Kalahkan beast	괴수를 처치
QUEST_LV_0400_20161212_001140	Para Beast sepertinya melarikan diri ke arah Vaighe Hill setelah terluka parah. Pergi dan selesaikan pertarungannya.	치명상을 입은 괴수는 바이게 언덕으로 도망친 것 같습니다. 바이게 언덕으로 가 싸움의 마무리를 지으세요.
QUEST_LV_0400_20161212_001141	Kamu telah mengalahkan The beast. Beritahukan ini kepada Vilhelmas.	괴수를 처치하는 데 성공하였습니다. 빌헬마스에게 돌아가 그 사실을 전달해 주세요.
QUEST_LV_0400_20161212_001142	Kalahkan the beast of Emmet Forest.	에메트숲의 괴수 처치
QUEST_LV_0400_20161212_001143	Bicara kepada Refugee Mylija	피난민 밀리아와 대화
QUEST_LV_0400_20161212_001144	Refugee Mylija khawatir kemana harus mencari bantuan. Tanyakan kepada dia apa masalahnya.	피난민 밀리아는 도움을 청할 곳이 마땅치 않아 곤란해 하고 있습니다. 그녀에게 무엇이 문제인지 물어보세요.
QUEST_LV_0400_20161212_001145	Dapatkan Leafnut Tailfruits	리프넛의 꼬리열매 획득
QUEST_LV_0400_20161212_001146	Mylija memintamu untuk mengumpulkan Leafnut Tailfruits sebagai makanan sementara. kalahkan Yellow Leafnuts dan kumpulkan Tailfruits mereka.	밀리아는 부족한 식량의 임시방편으로 리프넛의 꼬리열매를 모아달라고 합니다. 주변의 노란 리프넛들을 사냥하고 그 꼬리열매를 모아다 주세요.
QUEST_LV_0400_20161212_001147	Kamu telah mengumpulkan cukup banyak untuk memberi makan pengungsi. Berikan makanan tersebut kepada Mylija.	피난민들에게 필요한 만큼의 열매를 모은 것 같습니다. 밀리아에게 전달해 주세요.
QUEST_LV_0400_20161212_001148	Kalahkan Yellow Leafnuts dan kumpulkan %s	노란 리프넛을 처치하고 %s 모으기
QUEST_LV_0400_20161212_001149	Bicara kepada Refugee Greg	피난민 그렉과 대화
QUEST_LV_0400_20161212_001150	Refugee Greg sepertinya sangat khawatir tentang Monster di area sekitar. Bicara kepadanya.	피난민 그렉은 주변의 몬스터가 매우 신경쓰이는 것 같습니다. 그와 대화해 보세요.
QUEST_LV_0400_20161212_001151	Kumpulkan Hard Wooden Sticks	단단한 나무막대 수집
QUEST_LV_0400_20161212_001152	Greg berkata bahwa mereka harus menemukan cara untuk melindungi diri sendiri karena mereka tidak dapat mengharapkan bantuan dari para lords. Kumpulkan Hard Wooden Sticks untuk membantunya.	그렉은 영주들의 도움을 받기 어려우니 몬스터들로부터 스스로 지킬 방법을 찾겠다고 합니다. 그를 위해 단단한 나무막대를 구해다 주세요.
QUEST_LV_0400_20161212_001153	Seharusnya ini cukup baik untuk digunakan sebagai senjata melawan Monster yang lemah. Berikan kepada Greg.	이 정도면 약한 몬스터들 정도는 상대할 만한 무기가 될 것 같습니다. 그렉에게 나무막대들을 전달해 주세요.
QUEST_LV_0400_20161212_001154	Refugee Mylija berpikir bahwa sepertinya ini tidak cukup. Tanyakan kepadanya bagaimana dia mengatasi masalah ini.	피난민 밀리아는 이대로는 안된다고 생각하는 것 같습니다. 그녀에게 이 숲의 상황을 해결할 방법이 무엇인지 물어보세요.
QUEST_LV_0400_20161212_001155	Membuat kedua lords untuk berunding	두 영주의 대화약속 받아내기
QUEST_LV_0400_20161212_001156	Mylija sepertinyab berpikit bahwa satu satunya cara agar Forest menjadi aman adalah jika kedua Lord berhenti bertengkar. Bujuk kedua Lord Ryudhas dan Joquvas untuk berunding.	밀리아는 두 영주가 어떻게든 대화해서 싸움을 멈추어야 이 숲의 상황이 안정된다고 생각하는 것 같습니다. 위쪽에 머무르는 리우다스 영주와 아래쪽에 머무르는 요쿠바스 영주를 각각 설득해 대화 약속을 받아내세요.
QUEST_LV_0400_20161212_001157	Kamu telah berhasil membujuk kedua Lords. beritahukan kabar baik ini kepada Mylija.	두 영주를 설득하는 데에 성공했습니다. 밀리아에게 이 좋은 소식을 알려 주세요.
QUEST_LV_0400_20161212_001158	membujuk Lord Ryudhas	리우다스 영주 설득하기
QUEST_LV_0400_20161212_001159	Bicara kepada Lord Ryudhas	영주 리우다스와 대화
QUEST_LV_0400_20161212_001160	Lord Ryudhas sepertinya tidak menyukai ada orang asing yang berkeliaran. beritahukan dia alasan kedatanganmu.	영주 리우다스는 이 곳에 낯선 이가 맴도는 것이 마음에 안 드는 듯 합니다. 먼저 그에게 용건을 확실하게 밝혀주세요.
QUEST_LV_0400_20161212_001161	Menggali Pystis Grass Roots	피스티스 풀의 뿌리 캐기
QUEST_LV_0400_20161212_001162	Ryudhas meminta sebagai balasan untuk mendengarkanmu, kamu harus mengumpulkan Pystis Grass Roots untuk membantu anak buahnya yang keracunan. Gali Pystis Grass Roots dari area sekitar.	리우다스는 대화에 응하는 조건으로 자신의 부하들에게 걸린 돌림병 약의 재료를 구해오라고 요구했습니다. 근처에서 자라는 피스티스 풀의 뿌리를 캐세요.
QUEST_LV_0400_20161212_001163	Kamu telah mengumpulkan cukup banyak Roots untuk anak buah Ryudhas. berikan akarnya kepada dia.	리우다스가 요구한 뿌리를 모두 캐내었습니다. 그에게 뿌리들을 넘겨주세요.
QUEST_LV_0400_20161212_001164	Sepertinya lebih banyak lagi yang dibutuhkan untuk menghentikan penyebaran wabah ini. Tanyakan Lord Ryudhas apalagi yang harus kamu cari.	병사들의 돌림병을 낫게 하기 위해서는 아직 부족한 것이 있는 듯 합니다. 영주 리우다스에게 무엇을 더 가져와야 되는지 물어 보세요.
QUEST_LV_0400_20161212_001165	Kumpulkan Orange Grummer legs	주황 그루머의 다리 수집
QUEST_LV_0400_20161212_001166	Sepertinya kamu harus menghaluskan dan mencampur Orange Grummer legs ke dalam roots untuk membuat antidote. kumpulkan Orange Grummer legs dari area sekitar dan berikan mereka kepada Lord Ryudhas.	먼저 구한 뿌리 즙에 그루머의 다리를 갈아 섞어야 돌림병의 약이 완성되는 듯 합니다. 근처의 주황 그루머를 사냥하고 그 다리를 모아 리우다스에게 전해 주세요.
QUEST_LV_0400_20161212_001167	Kamu telah mendapatkan cukup banyak legs. berikan mereka kepada Lord Ryudhas.	알맞은 양의 다리를 모을 수 있었습니다. 어서 리우다스에게 전달해 주세요.
QUEST_LV_0400_20161212_001168	Kumpulkan %s dengan mengalahkan Orange Grummer	주황 그루머를 처치하고 %s 수집
QUEST_LV_0400_20161212_001169	Lord Ryudhas sepertinya memiliki satu tugas terakhir untukmu. Dengarkan apa permintaannya dan buat dia setuju untuk berunding.	영주 리우다스는 마지막으로 개인적인 일을 부탁하려는 것 같습니다. 그의 부탁을 마저 들어주고 대화 약속을 받아내세요.
QUEST_LV_0400_20161212_001170	Gali Toy Box dari bawah The marked tree	상처있는 나무에서 장난감 상자 파내기
QUEST_LV_0400_20161212_001171	Ryudhas ingin memngambil Toy Box dari masa kecilnya. dia berkata itu terletak di bawah marked tree, namun kamu harus membersihkan lumut dari pohon untuk menemukan the marked tree.  Kumpulkan Red Colimen fluid dari area sekitar untuk membersihkan lumut dan menemukan the marked tree.	리우다스는 어린시절 추억의 장난감 상자를 되찾고자 합니다. 그는 흉터가 있는 나무를 찾으라고 하는데, 이곳의 나무들은 모두 이끼가 덮여 먼저 이끼를 녹일 필요가 있습니다. 붉은 콜리멘의 체액을 모아 아트민티스 공터에 있는 나무의 이끼를 녹여 흉터를 확인하고 그 밑에서 장난감 상자를 찾아 리우다스에게 전해 주세요.
QUEST_LV_0400_20161212_001172	Kamu telah menemukan Toy Box yang dicari oleh Lord Ryudhas. berikan kepadanya dan buat dia setuju untuk berunding.	리우다스가 어린 시절 묻어 놓았던 상자를 찾았습니다. 어서 그에게 가져다 주고 대화 약속을 받아내세요.
QUEST_LV_0400_20161212_001173	Gali %s dari bawah the marked tree	상처있는 나무 밑에서 %s 파내기
QUEST_LV_0400_20161212_001174	membujuk Lord Joquvas	요쿠바스 영주 설득하기
QUEST_LV_0400_20161212_001175	Bicara kepada Lord Joquvas	영주 요쿠바스와 대화
QUEST_LV_0400_20161212_001176	Bicara kepada Lord Joquvas seperti yang diminta para pengungsi.	피난민들의 부탁에 따라 먼저 요쿠바스 영주에게 말을 걸어 보세요.
QUEST_LV_0400_20161212_001177	Bicara kepada Roberta	로베르타와 대화
QUEST_LV_0400_20161212_001178	Roberta akan mendengarkan apa yang kamu katakan sebagai ganti dari Lord Joquvas yang sedang marah besar. Bicara kepadanya	화내는 요쿠바스 영주 대신 측근인 로베르타가 대신 이야기를 듣겠다고 합니다. 그녀와 대화해 보세요.
QUEST_LV_0400_20161212_001179	Sepertinya semua harus melewati Roberta sebelum sampai ke Lord Joquvas. Dengarkan apa yang dia minta terlebih dahulu.	요쿠바스 영주에게 가는 모든 사안은 로베르타를 통해야 되는 것 같습니다. 먼저 그녀가 요구하는 것이 무엇인지 들어보세요.
QUEST_LV_0400_20161212_001180	Kalahkan Red Colimen	붉은 콜리멘 처치
QUEST_LV_0400_20161212_001181	Roberta memintamu untuk mengalahkan Red Colimen di area sekitar jika kamu ingin meminta bantuan Lord Joquvas. Kalahkan Red Colimen di area sekitar.	로베르타는 영주에게 용건을 전달하고 싶다면 먼저 근처의 콜리멘들을 처치해 줄 것을 요구해 왔습니다. 주변 지역에서 붉은 콜리멘들을 처치하세요.
QUEST_LV_0400_20161212_001182	Kamu telah berhasil mengalahkan Red Colimen sebanyak yang diminta. sekarang kembali dan bicara kepada Roberta.	로베르타가 요구한 숫자의 몬스터를 물리치는 데 성공하였습니다. 이제 그녀에게 자세한 용건을 밝히세요.
QUEST_LV_0400_20161212_001183	Kalahkan %s seperti yang diminta oleh Roberta	로베르타의 부탁대로 %s 처치
QUEST_LV_0400_20161212_001184	Roberta sepertinya lebih peduli untuk membuat para pengungsi mengakui Lord Joquvas sebagai pemilik tanah daripada kesejahteraan mereka. Tanyakan kepadanya apa yang dia inginkan.	로베르타는 대화보다도 피난민들에게 이곳이 요쿠바스 가문의 땅임을 밝히는 데에 주력하는 것 같습니다. 먼저 그녀가 원하는 것부터 물어보세요.
QUEST_LV_0400_20161212_001185	Selidiki ruins at Arcmnys Lake untuk The shield	아크메니스 호숫가의 폐허에서 방패 찾기
QUEST_LV_0400_20161212_001186	Roberta berkata bahwa terdapat bangunan di Arcmnys Lake dimana penjaga yang disewa oleh Joquvas family pernah tinggal. Cari benda dengan seal of the Joquvas family.	로베르타는 아크메니스 호숫가의 폐허가 과거 요쿠바스 가문의 고용인이 머무르던 거처라고 합니다. 그곳에서 요쿠바스 문장이 그려진 증거품을 찾아 보세요.
QUEST_LV_0400_20161212_001187	Kamu telah menemukan Sield dengan seal of the Joquvas family. Berikan itu kepada Roberta.	요쿠바스 가문의 방패를 발견하였습니다. 이제 로베르타에게 방패를 건네 주세요.
QUEST_LV_0400_20161212_001188	Roberta sepertinya berpikit bahwa bukti itu tidak cukup untuk meyakinkan para pengungsi.Tanyakan Roberta apalagi yang dibutuhkan.	아무래도 방패로는 피난민들을 납득시키기 부족하다고 생각하는 것 같습니다. 로베르타에게 무엇이 더 필요한지 물어 보세요.
QUEST_LV_0400_20161212_001189	pergi dan periksa the Monument dengan Roberta	로베르타와 함께 기념비 확인
QUEST_LV_0400_20161212_001190	Roberta berkata bahwa monuments yang dibangung oleh Joquvas family di area tersebut cukup untuk bukti bahwa mereka adalah pemilik yang sah. pergi dan periksa monuments di Paccituche Trail, Skalda Road dan Lyfetie Cliffs dengannya.	로베르타는 과거 요쿠바스 가문에서 곳곳에 세워놓은 기념비들이 큰 증거가 될 것이라 생각하고 있습니다. 그녀와 함께 파키투시 오솔길, 스칼다 돌길, 라이프타이 절벽에 기념비들의 상태를 각각 확인하세요.
QUEST_LV_0400_20161212_001191	Kamu telah memeriksa semua monuments. sekarang minta Roberta untuk membujuk Lord Joquvas agar setuju berunding dengan Lors lainnya.	모든 기념비의 확인이 끝났습니다. 이제 로베르타에게 요쿠바스 영주와 리우다스 영주간의 대화 약속을 받아내세요.
QUEST_LV_0400_20161212_001192	Sepertinya perundingan tidak berjalan dengan baik. Tanyakan Refugee Mylija tentang apa yang terjadi.	두 영주간의 대화가 시작된 것 같지만 뭔가 분위기가 좋지 않은 듯 합니다. 피난민 밀리아에게 자세한 것을 물어보세요.
QUEST_LV_0400_20161212_001193	Pergi ke tempat dimana kedua Lords berunding	두 영주 간의 회합장소로 찾아가기
QUEST_LV_0400_20161212_001194	Mylija berkata bahwa kedua lords mulai berunding namun berpikir bahwa perundingantidak berjalan dengan baik. pergi dan lihat apa yang terjadi.	밀리아는 중앙지역에서 두 영주가 대화를 시작했지만 매우 험악한 분위기 같아 보였다고 합니다. 두 영주의 회합장소로 가 어떻게 흘러가는지 지켜보세요.
QUEST_LV_0400_20161212_001195	Ikuti two lords	두 영주의 뒤를 쫓기
QUEST_LV_0400_20161212_001196	The two lords telah membawa anak buat mereka ke tempat monster menyerang. Ikuti mereka.	두 영주는 부하들을 이끌고 몬스터들이 습격해 왔다는 곳으로 달려갔습니다. 서둘러 그 뒤를 쫓아가세요.
QUEST_LV_0400_20161212_001197	Selamatkan two lords dari para monsters	두 영주를 몬스터로부터 구하기
QUEST_LV_0400_20161212_001198	The two lords beresiko kehilangan semua anak buah mereka. kalahkan semua monster yang menyerang mereka dan selamatkan mereka.	두 영주가 부하들을 모두 잃고 위기에 처한 것 같습니다. 두 영주를 습격하는 몬스터들을 모두 물리치고 그들을 구해내세요.
QUEST_LV_0400_20161212_001199	The two lords telah berhasil selamat. bicara kepada Lord Ryudhas.	영주들은 간신히 목숨을 건졌습니다. 리우다스 영주와 대화해 보세요.
QUEST_LV_0400_20161212_001200	Kalahkan Monster yang menyerang two lords	영주들을 위협하는 몬스터 처치
QUEST_LV_0400_20161212_001201	Lord Ryudhas sepertinya berubah pikiran. Coba bujuk dia.	리우다스 영주는 심경의 변화가 생긴 듯 합니다. 그를 설득해 보세요.
QUEST_LV_0400_20161212_001202	Lord Ryudhas telah setuju untuk membuat tempat tinggal jika Lord Joquvas dapat bekerja sama. Tanyakan Lord Joquvas tentang tujuannya.	리우다스 영주는 요쿠바스 영주만 동의한다면 협상할 뜻을 내비쳤습니다. 이제 요쿠바스 영주의 의사를 물어보세요.
QUEST_LV_0400_20161212_001203	The two lords telah setuju untuk membuat batas baru. Dengarkan kepada Lord Ryudhas untuk detailnya.	위기에서 벗어난 두 영주는 서로 경계를 다시 정하기로 결정한 듯 합니다. 리우다스 영주에게 보다 자세한 이야기를 들어보세요.
QUEST_LV_0400_20161212_001204	Bicara kepada Indraja	인드라야와 대화
QUEST_LV_0400_20161212_001205	Adventurer Indraja sepertinya sedang bersembunyi dari monster dengan teman yang terluka. Tanyakan apakah ada yang bisa kamu bantu.	모험가 인드라야는 부상당한 동료와 함께 몬스터를 피해 숨어있는 것 같습니다. 그녀에게 뭔가 도울 것이 있는지 물어보세요.
QUEST_LV_0400_20161212_001206	Kumpulkan dew dari Slya Dandelions	실라 민들레의 이슬 수집
QUEST_LV_0400_20161212_001207	Indraja berkata bahwa dia membutuhkan air untuk membuat potion untuk menghalau monsters. Kumpulkan dew dari Syla Dandelions untuk digunakan olehnya.	인드라야는 몬스터들을 물리기 위한 약물을 만들기 위해 물이 필요하다고 합니다. 물 대신 실라 민들레의 봉오리에 모이는 이슬을 모아다 건네 주세요.
QUEST_LV_0400_20161212_001208	Seharusnya air ini sudah cukup untuk membuat potion. berikan kepada Indraja.	이 정도면 약물을 만들기에 넉넉한 양이 될 것 같습니다. 모은 이슬을 인드라야에게 건네 주세요.
QUEST_LV_0400_20161212_001209	Kumpulkan %s dari area sekitar	주변에서 %s 모으기
QUEST_LV_0400_20161212_001210	Indraja telah mengetahui kamu adalah Revelator dan meminta bantuanmu untuk dirinya dan the Kingdom. Dengarkan perkataannya	인드라야는 계시자의 정체를 간파하고 왕국을 위해 자신을 도와달라고 합니다. 그녀가 무슨 부탁을 하는지 들어보세요.
QUEST_LV_0400_20161212_001211	kalahkan Kugheri Zeuni dan Kugheri Zabbi di area sekitar	쿠게리 자비와 쿠게리 저이니 처치
QUEST_LV_0400_20161212_001212	Indraja memintamu untuk mengalahkan Kugheri Tribe yang mengejarnya atas perintah para Demons. Kalahkan Kugheri Zabbi dan Zeuni di area sekitar.	인드라야는 마족의 사주를 받아 자신들을 추격하고 있는 쿠게리 부족을 막아 달라고 부탁했습니다. 주변의 쿠게리 저이니와 쿠게리 자비를 처치하세요.
QUEST_LV_0400_20161212_001213	Kamu telah mengalahkan semua Kugheri Tribe di sekitar kamu. Kemabli ke Indraja.	당장 인드라야를 추적중인 쿠게리 부족을 모두 처치한 것 같습니다. 인드라야에게 되돌아가세요.
QUEST_LV_0400_20161212_001214	Kalahkan Kugheri Zabbi dan Zeuni	쿠게리 저이니와 쿠게리 자비 처치
QUEST_LV_0400_20161212_001215	Kamu telah menemukan perintah yang ditulis oleh Demon pada tubuh Kugheri Zabbi. Indraja mungkin mengetahui hal tersebut, coba kamu berikan kepada dia.	쿠게리 자비를 쓰러뜨리자 마족의 지령서가 품 안에서 나왔습니다. 인드라야라면 내용을 짐작할 수 있을지도 모르니 그녀에게 가져다 주세요.
QUEST_LV_0400_20161212_001216	Indraja sepertinya salah paham mengenai perintah yang kamu berikan kepada dia. Namun, dia sepertinya tahu apa yang harus dilakukan berikutnya. Coba bicara dengannya.	인드라야는 가져다 준 지령서를 해석하는 데 실패한 듯 합니다. 하지만 아직 포기하지 않은 듯 하니 그녀와 다시 대화해 보세요.
QUEST_LV_0400_20161212_001217	Dapatkan lebih banyak demon orders dari Kugheri Zabbi	쿠게리 자비로부터 마족의 지령서를 습득
QUEST_LV_0400_20161212_001218	Indraja berpikir dia dapat mengartikan perintah tersebut jika dia memiliki materi referensi. pergi dan carikan dia lebih banyak Order.	인드라야는 다른 지령서들을 좀 더 모아 비교하면서 조사하면 자신의 능력으로도 의미를 추측할 수 있을 것 같다고 합니다. 그녀를 위해 지령서를 더 모아다 주세요.
QUEST_LV_0400_20161212_001219	Kamu telah mengumpulkan cukup orders untuk Indraja. berikan kepada dia untuk diterjemahkan.	인드라야가 요구한 숫자의 지령서를 모았습니다. 그녀가 해석할 수 있도록 전달해 주세요.
QUEST_LV_0400_20161212_001220	Peroleh %s dari the Kugheri Zabbi	쿠게리 자비에게서 %s 입수
QUEST_LV_0400_20161212_001221	Indraja sepertinya mengetahui apa yang dicari oleh para Demon. Tanyakan dia apa langkah selanjutnya.	인드라야는 여러 장의 지령서를 통해 자신을 쫓고 있던 마족의 현재 상황을 추측한 것 같습니다. 이제 그녀에게 다음으로 해야 할 일을 물어 보세요.
QUEST_LV_0400_20161212_001222	Kalahkan Vhalterris dan dapatkan the Royal Mausoleum's chest	마족 발테리스를 처치하고 왕릉의 상자 회수
QUEST_LV_0400_20161212_001223	Indraja berkata bahwa kamu harus mengalahkan Vhalterris dan mendapatkan the Royal Mausoleum's chest untuk melanjutkan mencari jalan masuk. Temjukan Vhalterris di Apeighos Altar dan kalahkan dia.	인드라야는 마족 발테리스를 물리치고 그가 빼앗아 간 왕릉의 상자를 회수 해야 왕릉의 입구를 계속 조사할 수 있다고 합니다. 아페이고스 제단을 조사 중인 발테리스를 찾아 그를 물리치세요.
QUEST_LV_0400_20161212_001224	Kamu telah berhasil mengalahkan Vhalterris dan mendapatkan Royal Mausoleum's chest. kembali ke Indraja dan berikan Chestnya kepada dia.	발테리스를 무찌르고 왕릉의 상자를 회수하는 데에 성공하였습니다. 인드라야에게 돌아가 상자를 건네 주세요.
QUEST_LV_0400_20161212_001225	Indraja mencoba membuka peti yang kamu berikan. tanyakan apakah dia butuh bantuan.	인드라야는 이제 되찾은 왕릉의 상자의 수수께끼를 풀고 상자를 열어보려고 합니다. 그녀를 도울 방법이 있는지 물어보세요.
QUEST_LV_0400_20161212_001226	Temukan pohon tersebut dan lihat bagaimana Seal bereaksi	마법걸린 나무들을 찾아 문장 반응시키기
QUEST_LV_0400_20161212_001227	Indraja berkata dia membutuhkan petunjuk mengenai warna tersebut. pergi ke pohon yang ditandai pada peta yang dia berikan dan periksa bagaimana Royal Seal bereaksi.	인드라야는 색과 관련된 힌트가 필요하다고 합니다. 그녀가 준 지도에 표시되어 있는 마법걸린 나무를 찾아 왕가의 문장을 반응시키고 무슨 현상이 일어나는지 조사하세요.
QUEST_LV_0400_20161212_001228	Kamu melihat pohon tersebut bersinar dengan 5 warna berbeda. beritahukan Indraja apa yang kamu lihat.	다섯 그루의 나무가 각각 다른 색의 빛을 발산하는 것을 목격하였습니다. 인드라야에게 본 사실대로 이야기해 주세요.
QUEST_LV_0400_20161212_001229	Indraja sepertinya telah menemukan petunjuk lainnya berkat stone slate yang berada di dalam peti. tanyakan kepadanya apa yang telah dia pelajari.	인드라야는 상자 안에 들어있던 석판의 기록을 바탕으로 새로운 실마리를 찾은 것 같습니다. 그녀가 무엇을 알아내었는지 물어보세요.
QUEST_LV_0400_20161212_001230	Selidiki Lykhas Crossroads	라이카스 교차로를 조사
