QUEST_20150317_000001	Pilih user untuk memodifikasi quest.	퀘스트 수정이 필요한 유저를 선택해주세요.
QUEST_20161212_004253	Apa yang akan kamu tukar dengan barang ini?	어떤 걸로 교환해드릴까요?
QUEST_20161212_004254	Kamu telah mengumpulkan dengan jumlah yang banyak, Jika demikian {nl} silahkan tentukan pilihanmu	많이 모아오셨네요!{nl}골라 보세요.
QUEST_20161212_004255	Saya tidak memiliki apapun untuk ditukar dengan barang tersebut	교환해드릴게 없네요.
QUEST_20161212_004256	Berapa yang kamu butuhkan	몇 개가 필요하신가요?
QUEST_20161212_004257	Beritahukan saya jumlah yang kamu butuhkan	필요한 개수를 알려주십시오.
QUEST_20161212_004258	Saya tidak dapat menjual kamu apapun dengan jumlah silver yang sesedikit itu.{nl}silahkan kembali lain kali	실버가 부족해서 교환해드릴 수 없네요.{nl}다음에 찾아주세요.
QUEST_20161212_004259	Kamu membutuhkan lebih banyak silver untuk barang tersebut	실버가 더 필요하겠습니다.
QUEST_20161212_004260	Kamu adalah Revelator yang telah mencapai Rank 8. {nl} ini adalah hadiah kecil bagi semua yang telah berusaha untuk memberikan kedamaian bagi dunia	8랭크에 오르신 분이시군요.{nl}세상을 위해 힘써주신 분께 드리는 작은 선물이에요.
QUEST_20161212_004261	Selamat telah mencapai Rank 8.{nl}Semoga para Goddess memberkatimu.	8랭크 달성을 축하드려요.{nl}계시자님께 여신의 축복이 함께하시길.
QUEST_20161212_004262	Beritahukan saya sekali lagi berapa yang kamu butuhkan,.	몇 개가 필요하신지 다시 알려주세요.
QUEST_20161212_004263	Beritahukan saya lagi berapa yang kamu butuhkan,.	몇 개가 필요하신지 다시 알려주십시오.
QUEST_20161212_004264	Pencuri yang dengan bodohnya memasuki Tower ini untuk merampoknya telah dibakar hidup hidup.{nl}setidaknya, Monumen yang dia tinggalkan akan berguna sebagai peringatan bagi para penyusup lainnya. {nl}- Agailla Flurry	남의 탑을 침입하고 남의 물건을 손댄 어리석은 도적을 불태웠다.{nl}허나 그의 비석은 침입자에 대한 경고로 남겨두는 바이다. {nl} -아가일라 플러리-
QUEST_20161212_004265	Sang raja telah diketahui memimpin pasukan dengan jumlah besar. {nl}Namun jika General Hayatin dapat menghimpun prajurit relawan dengan jumlah yang cukup,{nl}Raja yang tidak kompeten ini akan menyerah atau melarikan diri.	그래봤자 카듀멜은 무능해서 암만 많은 병력을 이끈다고 해도 하야틴 장군께서 지원병을 이끌고 오신다면 카듀멜은 꽁지를 내릴 수밖에 없을 것이다.
QUEST_20161212_004266	Sayang sekali semua terjadi seperti yang diprediksi oleh Laima.{nl} yang bisa kita lakukan hanyalah menahan perang yang lama dan melelahkan ini. denagn kondisi kita yang semakin melemah.{nl} 	하지만 모든 것은 라이마의 예지대로 이루어졌습니다.{nl}신수의 날 이후 미약한 힘으로 길고 긴 싸움을 견뎌낼 수밖에 없었습니다.{nl}
QUEST_20161212_004267	Fedimian adalah kota yang sangat tua, dan dikelilingi berbagai macam reruntuhan dan keajaiban. {nl}The Mage Tower, the Cursed City dan the Great Cathedral merupakan reruntuhan yang paling penting.	페디미안은 워낙 오래된 도시이다 보니 주변에 재미난 유적들이 많습니다.{nl}마법사의 탑이나 저주받은 도시.. 대성당도 있지요.
QUEST_20161212_004268	Para Goddess meninggalkan beberapa barang kepada First paladin. {nl}Seperti, the threat of Demon Queen Gesti, the commandments dan sebagainya...{nl}	여신께선 초대 팔라딘님께 여러 가지를 남기셨네.{nl}마왕 제스티의 위협이라든가, 지켜야 할 사명이라든가..{nl}
QUEST_20161212_004269	Merupakan Ide bagus untuk menjual berbagai Item yang kamu dapatkan dari membunuh monster, {nl}namun menggunakan Item tersebut untuk membuat Item baru juga bukan Ide yang buruk	몬스터에게서 여러 가지 전리품을 얻거든 상점에 파는 것도 좋습니다만.{nl}요즘 같은 때엔 그걸로 물건을 직접 만들어 쓰는 것도 나쁘지 않지요.
QUEST_20161212_004270	Kamu pastilah orang yang melepaskan Goddess Saule.{nl}Mengapa kamu mempertaruhkan nyawa kamu?	사울레 여신을 해방해 주었다는 이가 바로 너로구나.{nl}하지만 무엇을 위해 목숨을 거는 거지?{nl}
QUEST_20161212_004271	King Zachariel telah membuat banyak persiapan untuk generasi berikutnya. {nl}Kami dan Jonas Family merupakan salah satu dari persiapan tersebut. {nl}Namun Detail dari persiapan tersebut hanya diketahui oleh sang Goddess. {nl}Setidaknya kita mengetahui bahwa kita melindungi wasiat Raja dan rahasia dari Tomb tersebut menunjuk kepada 1 orang.{nl}	자카리엘 왕은 후대를 위한 여러 가지 안배를 남겨 두었소.{nl}우리 요나스의 가문도 그 일환 중의 하나이지.{nl}그러나 그것이 뜻하는 의미는 오직 여신만이 알고 있소.{nl}적어도 우리가 지키고 있는 왕의 유지와 왕릉의 비밀이 한 인물만을 가리키고 있는 것은 틀림없소.{nl}
QUEST_20161212_004272	Pepohonan menjadi semakin besar seiring dengan berjalannya waktu.{nl}Hanya terdapat Woodman disini, Namun jika kamu mengingat Pohon besar lainnya atau Pohon raksasa yang berada di Ibukota yang lama...{nl}kamu pasti berpikir tentang keberadaan yang jauh lebih besar dari tree monsters.{nl}Kita harus memikirkan kemungkinan ini,karena banyak tanaman yang berubah menjadiMonster setelah bencana terjadi	나무는 해를 넘길수록 그 크기가 점점 웅장하게 자란다.{nl}여기엔 기껏해야 우드맨 밖에 볼 수 없지만 아름드리 나무나 폐도에 솟구친 나무를 생각하면..{nl}당연히 더 거대한 나무 몬스터의 존재를 생각해 볼 수도 있다.{nl}식물 재앙이 도래하여 사악한 기운으로 인해 실제로 많은 식물들이 몬스터로 화한 지금, 그 가능성은 절대로 무시할 수 없다.
QUEST_20161212_004273	Kita telah sampai di depan Zachariel's Royal Mausoleum. {nl}Dia adalah Raja pertama dari kerajaan ini dan menggunakan banyak orang untuk membangunnya. {nl}Saya percaya tempat ini dapat menjawab pertanyaan yang berada dipikiran saya sejak dulu kala.{nl}	마침내 자카리엘 대왕의 왕릉 앞에 도착했다.{nl}자카리엘은 왕국을 세운 초대 대왕으로 과거 엄청난 수의 인부들을 동원해 이 왕릉을 지었다.{nl}이 곳만이 내가 그 동안 품어왔던 질문에 대한 답을 내려 줄 거라 믿고 있다. {nl}
QUEST_20161212_004274	Umumnya terdapat 2 cara untuk menyebarakan kutukan ini. {nl}Cara pertama, dengan menggunakan Equipment dan mengucapkan mantra sederhana. Meskipun  terdengar mudah namun ini adalah cara yang paling sulit. {nl}karena itu, berdasarkan contoh dari the Pilgrim's Way, Kita umumnya menggunakan objek yang terkutuk sebagai medium untuk menyebarkan kutukan.{nl}	저주의 확산에는 여러 가지 방법이 있으나 크게 두 가지 방법을 사용합니다.{nl}먼저 도구를 사용하는 경우는 간단한 언명이나 말로써 이뤄질 수도 있기에 다루기 쉬워 보이지만 실제로는 가장 어렵고 고차원적인 저주입니다.{nl}때문에 순례자의 길의 사례처럼 저주받은 당사자를 다시 그 저주를 확산하는 매개체로 작용시키는 방법을 주로 사용합니다.{nl}
QUEST_20161212_004275	Mereka bilang banyak terdapat holy relics tersembunyi di dalam Tenet Church. {nl}Beberapa dikabarkan mampu memindahkan orang menuju tempat yang tidak dapat dicapai orang lain... {nl}menakjubkan bukan?	테넷 성당엔 여러 가지 성스러운 유물들을 숨겨 놓았다고 그러더군요.{nl}어떤 물건은 아무도 갈 수 없는 곳으로 이동시켜 준다고 하던데.. 신기하죠?
QUEST_20161212_004276	Sepertinya membutuhkan lebih banyak purification...	조금 더 정화해야 할 것 같다..
QUEST_20161212_004277	Saat saya melakukan hal tersebut, Saya mempelajari tentang field of accumulation. {nl}Ini merupakan sebuah Topik yang kosong. Teori mengenai Awal dan Akhir penciptaan merupakan perpustakaan yang menakjubkan,{nl}terdapat pada batas dari transcendency, Semua demi satu tujuan.	그러던 도중 축적의 영역에 대해 알게 되었다. {nl}그것은 텅 빈 영역이다. 시작과 끝의 원리가 하나의 목적을 위해 초월의 경계에 선 환상 도서관이라는..
QUEST_20161212_004278	Dapat memasuki bersama player yang tergabung Party dengan anda, Ruined Legwin Royal Family Dungeon(Recommended Lvl:130).{nl}Apakah anda mau masuk?	쇠락한 르권가문의 던전(권장레벨:130)으로, 당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.{nl}입장하시겠습니까?
QUEST_20161212_004279	...Dengan dunia mengalami Calamity Saya, Ili Terid, seorang master yang memikul pencapaiannya dengan bangga{nl}dari Psychokinos sebelumnya, percaya bahwa rekaman dari sejarah pre-Medzio Diena milik kita{nl}merupakan tugas penting dan memutuskan untuk menulisnya sendiri.{nl}	..세계가 재앙을 맞이한 상황에서 나 일리 테리드는 선대 사이코키노들의 업적을 짊어진 마스터로서 신수의 날 이전의 역사를 기록하는 일이 중요하다고 보아 펜을 들게 되었다.{nl}
QUEST_20161212_004280	Shapeshifting merupakan tipe magic yang sangat mendalam, namun hanya mempelajarinya tidak akan membuatmu lebih kuat.{nl}Jika kamu tidak dapat menggunakannya dalam pertarungan lebih baik kamu mempelajari magic lainnya.	신체 변형 마법은 참 오묘한 마법이지만, 그저 배운다고 강해지는 게 아냐. {nl}실전이 안 된다면 차라리 다른 길을 알아보게.
QUEST_20161212_004281	Saudari kembar saya, May Patt, adalah Wugushi Submaster yang berada jauh di Klaipeda.{nl}Orsha saja sudah cukup buruk; saya tidak dapat membayangkan keadaan disana...	내 쌍둥이 동생 메이 팻은 저 멀리 클라페다 너머에서 무고사 서브 마스터로 있어.{nl}오르샤도 걱정이지만 그 곳은 어떨는지..
QUEST_20161212_004282	Saya diminta untuk menyebarkan para clerics dan mensupply Holy Water.{nl}saya diperintahkan untuk mengirimkan mereka kepada Commander Julian's unit, jadi mungkin kamu bisa menemukan Master disana.	제게도 오셔서 성직자의 파견이라든가 성수 같은 보급을 부탁하고 가셨어요.{nl}지휘관 줄리안님 부대로 보내달라 하셨으니 아마 그 쪽에 계실 거예요.
QUEST_20161212_004283	Ya.Mungkin Keluarga manusia yang bertahan untuk waktu yang lama seperti Jonas family...{nl}seseorang yang memiliki keabadian seperti Amjinas pasti mengetahui sesuatu.	그래요. 요나스 가문처럼 오래된 인간의 가문이라든가..{nl}암지나스처럼 영생을 사는 사람이라면 분명 아는 바가 있을 겁니다.
QUEST_20161212_004284	Saya mengetahui dengan pasti takdir yang akan menimpa Zanas...{nl}Dan saya yakin dia sendiri telah siap untuk menerimanya, namun saya tidak memiliki pilihan lain selain mempercayai dia dengan Revelation.{nl}	자나스의 운명을 알면서도.. {nl}그가 그 운명을 받아들일 것을 알면서도 전 그에게 계시를 맡길 수밖에 없었습니다.{nl}
QUEST_20161212_004285	Saya menemukan dengan bereksperimen bahwa Rafflesias tidak terpengaruh oleh racun.{nl}hasil menunjukkan bahwa getah mereka memiliki ketahanan terhadap racun.{nl} dengan menambahkan getah Rafflesia ke dalam larutan antidote, maka, saya mengkonfirmasikan peningkatan dalam efisiensi antidote tersebut.{nl}Dengan memanfaatkan penemuan ini dapat membuat peneliti lainnya untuk meneliti racun yang lebih kuat.	실험 도중 라플레시아에게는 독이 잘 통하지 않는 것을 발견했다.{nl}여러 가지 확인해 본 결과 라플레시아의 끈적한 수액이 독에 대한 내성을 가지고 있었다.{nl}이 사실을 토대로 해독제에 라플레시아의 끈적한 수액을 첨가하자 해독 효과가 수십 배나 좋아지는 것을 확인했다.{nl}이것을 잘 이용하면 연구원들에게 더 독한 독으로 만든 용액을 사용하도록 할 수 있을 것 같다.
QUEST_20161212_004286	Bukti Pertama	첫 번째 단서
QUEST_20161212_004287	{@ST43}Pertama{/}{nl}terdapat magic circles yang telah rusak dan magic stones yang ditinggalkan.	{@ST43}첫 번째{/}{nl}부서진 마법진이나 마법석들이 남아있다.
QUEST_20161212_004288	Bukti Kedua	두 번째 단서
QUEST_20161212_004289	{@ST43}kedua{/}{nl}Terdapat banyak lokasi dan alat pada dokumen yang sulit untuk dilihat sebagai perangkat militer.	{@ST43}두 번째{/}{nl}시설관리대장에는 군 시설이라고 보기 어려운 장소들이나 장치들이 나와 있다.
QUEST_20161212_004290	Bukti Ketiga	세 번째 단서
QUEST_20161212_004291	{@ST43}ketiga{/}{nl}terdapat magic circle yang bereaksi dengan berkedip dengan cahaya hijau.{nl}Magic circle ini merupakan Rahasia yang sangat penting.	{@ST43}세 번째{/}{nl}초록빛으로 반응하는 마법진이 있다.{nl}이 마법진은 최고급 기밀이다.
QUEST_20161212_004292	Bukti Keempat	네 번째 단서
QUEST_20161212_004293	{@ST43}keempat{/}{nl}The Wall Maintenance Mage telah meneliti bahan kimia yang dapat membunuh atau menghambat pertumbuhan Tanaman.	{@ST43}네 번째{/}{nl}성벽 관리 마법사는 식물을 죽이거나 성장을 막는 약품을 연구했었다.
QUEST_20161212_004294	{@ST43}kedua{/}{nl}Terdapat banyak lokasi dan alat pada dokumen yang sulit untuk dilihat sebagai perangkat militer.	{@ST43}두 번째{/}{nl}시설관리대장에는 군 시설이라고 보기 어려운 장소들이나 장치들이 나와있다.
QUEST_20161212_004295	Bukti Kelima	다섯 번째 단서
QUEST_20161212_004296	{@ST43}kelima{/}{nl}kertas yang diperkuat dengan magic yang berisi Operation Orders.{nl}Perintah tersebut menyebutkan tentang 'The Day of Revelation' dan langkah yang harus diambil saat hari tersebut datang.	{@ST43}다섯 번째{/}{nl}마법이 걸린 종이는 작전 지시서였다.{nl}작전 지시서에는 예언의 날이라는 말과 함께 그에 대한 대응책이 적혀있다.
QUEST_20161212_004297	Kupole Jore	큐폴 요레
QUEST_20161212_004298	Tunggu.{nl}Saya pikir kita melihat ini dengan cara yang salah.	잠시만요.{nl}뭔가 잘못 생각한 것이 있는 것 같아요.
QUEST_20161212_004299	Ayo lihat lebih dekat.{nl}Saya yakin kita melewatkan sesuatu.	조금만 더 신중하게 살펴보죠.{nl}분명히 놓친 부분이 있을 거예요.
QUEST_20161212_004300	Mungkin arti sebenarnya dari Three Layered Castle Wall adalah...	어쩌면.. 삼중성벽의 숨겨진 진짜 역할은..
QUEST_20161212_004301	Ya! itu dia.{nl}terdapat alasan mengapa Goddess Laima membuat dinding disini!	맞아요! 바로 그거에요.{nl}역시 라이마 여신이 이곳에 삼중성벽을 세운 이유가 있었어요!
QUEST_20161212_004302	Saya tidak yakin ini masuk akal.{nl}Saya mungkin mendapatkan inspirasi... Ayo pikirkan ini lebih teliti.	그건 아니라고 생각해요.{nl}뭔가 떠오를 것 같은데.. 다시 한 번 고민해봐요.
QUEST_20161212_004303	Kupole Liepa	큐폴 리에파
QUEST_20161212_004304	Saya rasa hipotesis kita tidak benar.{nl}Ayo kita pikirkan sekali lagi.	지금의 추리는 잘못된 부분이 있는 것 같네요.{nl}다시 생각해보는 게 좋겠어요.
QUEST_20161212_004305	Namun disini tertulis terdapat Minyak di dalam kaleng minyak...{nl}mengapa kaleng minyak dikeluarkan dari dalam gudang jika mereka tidak digunakan pada Medzio Diena?	하지만, 기름통에는 기름이 있었다고 되어 있는데..{nl}신수의 날에 그 대비책들이 사용되지 않았다면 기름통은 왜 꺼내놓았을까요?
QUEST_20161212_004306	Ya...{nl}Saya mengerti sekarang.	그러네요..{nl}이제 알겠어요.
QUEST_20161212_004307	Terdapat sesuatu yang mengganggu pikiran tentang mempertimbangkan hal tersebut sebagai jawabannya.{nl}Ayo coba kita pikirkan kembali.	그렇다고 하기에는 마음에 걸리는 부분이 있어요.{nl}조금만 더 생각해봐요.
QUEST_20161212_004308	{@ST43}Pertama{/}{nl}The Impact Absorption Magic Circles penuh dengan Magic	{@ST43}첫 번째{/}{nl}충격 흡수 마법진에는 모두 마력이 충분히 남아 있다.
QUEST_20161212_004309	{@ST43}Kedua{/}{nl}Tidak ada Barel minyak di dalam gudang.	{@ST43}두 번째{/}{nl}기름통 보관소에는 기름통이 없다.
QUEST_20161212_004310	{@ST43}Ketiga{/}{nl}Semua barel minyak berada di luar gudang dan penuh dengan minyak.	{@ST43}세 번째{/}{nl}기름통은 기름통 보관소 밖에 꺼내져 있고 기름이 가득 차 있었다.
QUEST_20161212_004311	{@ST43}Keempat{/}{nl}The Flamethrowing Magic Stone berfungsi dengan baik dan menyemprotkan api kepada semua yang mendekat.	{@ST43}네 번째{/}{nl}화염 방사 마법석은 아직도 멀쩡한 상태로 작동하면 주변에 강한 불을 낸다.
QUEST_20161212_004312	{@ST43}Kelima{/}{nl}Terdapat rencana yang mengindikasikan persiapan untuk menghadapi Medzio Diena.	{@ST43}다섯 번째{/}{nl}신수의 날에 대한 대응 지침이 준비되어 있었다.
QUEST_20161212_004313	Ditugaskan di tembok perbatasan sangatlah melelahkan{nl}Saat saya mendengar bahwa teman saya ditugaskan di tempat lain, berasa seperti kita mengerjakan pekerjaan 2x lebih banyak.{nl}Saya tidak mengerti mengapa mereka sangat khawatir dengan tempat ini.	삼중성벽에서의 생활은 너무 힘들다.{nl}다른 곳에 있는 친구의 말을 들어보면 업무가 최소한 두 배 이상 많다.{nl}이곳에 이렇게나 힘을 쏟는 이유가 뭘까?
QUEST_20161212_004314	Tempat ini pastilah penting jika seseorang melihat jumlah kunjungan dari para atasan.{nl}Saya benci dengan banyaknya yang harus kita bersihkan dan terlihat disiplin setiap kali mereka datang.	중요한 곳이라 그런지 왕국의 높으신 분들이 정기적으로 시찰을 나온다.{nl}그때마다 청소며 기강을 잡는 게 너무 피곤하다.
QUEST_20161212_004315	Terdapat rumor bahwa dinding perbatasan dibangun untuk digunakan melawan Demon dan juga manusia.{nl}Mungkin terdapat kebenaran dalam rumor ini jika kamu mempertimbangkan bahwa dinding perbatasan ini memiliki 3 lapis, dan juga memiliki banyak magic circles dan peralatan yang tersebar di seluruh tempat ini.	삼중성벽은 인간뿐만 아니라 마족과의 전쟁에 대비해 건축되었다는 소문이 있다.{nl}성벽이 삼중으로 지어진 것이나 어마어마한 양의 마법진도 그렇고 일반 병사들은 정체도 모르는 장치들이 잔뜩 있는 걸 보면 사실일지도 모르겠다.
QUEST_20161212_004316	Kapanpun seseorang datang dari ibukota, mereka selalu berbicara panjang lebar di dalam commander's quarters.{nl}biasanya para prajurit dilarang memasuki meeting tersebut. meskipun demikian seseorang melihat mereka menyembunyikan sesuatu di dalam kotak.	왕국에서 사람이 오면 항상 지휘관 실에서 오랫동안 이야기를 한다.{nl}일반 병사는 접근금지인 장소지만 전에 동료가 우연히 안을 본 적이 있는데 상자같이 생긴 장치에 무언가 숨기고 있었다고 한다.
QUEST_20161212_004317	Emergency Orders	긴급 명령서
QUEST_20161212_004318	Terdapat sesuatu yang mengusikky tentang mempertimbangkan hal tersebut sebagai jawaban.{nl}Coba kita pikirkan sekali lagi.	이것은 최우선 사항으로 전달되는 명령이니 확인하는 즉시 시행토록 한다.{nl}
QUEST_20161212_004319	Pertama, Semua Komandan harap segera melapor ke Royal Palace segera.{nl}	첫째, 모든 성벽 지휘관은 서둘러서 왕성으로 집합한다.{nl}
QUEST_20161212_004320	Kedua, harap tidak panik karena mungkin akan terjadi gempa dengan skala besar karena percobaan peralatan Militer terbaru.{nl}	둘째, 군의 신 병기 실험이 있어서 큰 진동이 있을 수 있으나 별일 아니니 움직이지 말고 대기한다.{nl}
QUEST_20161212_004321	Ketiga, Semua Kru maintenance dari Flamethrower Magic Circle dan Magic Stones harap menuju ke education field.{nl}mereka tidak harus menyerahkan tugas mereka kepada prajurit lainnya.{nl}	셋째, 화염 방사 마법석 관리병 마법진 관리병들은 특별교육이 있으니 성벽 밖에 있는 교육장으로 간다.{nl}다른 병사에게 업무 인계는 하지 않아도 된다.{nl}
QUEST_20161212_004322	Keempat,Terdapat masalah dengan magic circle yang mengontrol the core.{nl}Semua prajurit yang melindungi Dinding bagian luar dari Cores harap mundur untuk alasan keamanan.	넷째, 코어를 관리하는 마법진에 문제가 발생했다.{nl}안전을 위해 외성벽 코어를 지키는 병사들은 모두 물러나도록 한다.
QUEST_20161212_004323	Revelation Day Action Plans	예언의 날 대응 지침서
QUEST_20161212_004324	Kamu harus mengaktifkan semua magic circles yang sudah disiapkan.{nl}ini akan memakan waktu yang lebih lama dari yang diperkirakan, karena mereka mengkonsumsi banyak magic.{nl}Kamu tidak dapat mengatifkan mereka kembali setelah menggunakannya, kecuali jika magic mereka sudah penuh.{nl}	예언의 날이 되면 준비된 마법진들을 먼저 가동해야 한다.{nl}마법진들은 많은 마력을 소모하기 때문에 가동하는데 오래 걸린다.{nl}또한 한 번 사용하고 나면 마력을 다시 보충하지 않으면 사용할 수 없다.{nl}
QUEST_20161212_004325	Kegunaan dari The Oil Barrel Manager adalah untuk menyemprotkan semua minyak kepada tembok.{nl}Setelah itu, dia harus mengaktifkan Flamethrower Magic Stones.{nl}Bahkan prajurit yang mengaktifkan Stone tersebut dapat menyelamatkan diri, karena terdapat api yang cukup besar untuk membakar tembok.{nl}	기름통 관리자는 기름통 보관소에서 기름을 전부 꺼내 성벽 전체에 기름을 뿌린다.{nl}그리고 화염 방사 마법석을 가동한다.{nl}화염 방사 마법석이 가동되면 성벽 전체가 타버릴 정도로 강한 화염이 뿜어져 나오기 때문에 가동한 병사도 빠져나올 수 없다.{nl}
QUEST_20161212_004326	karena itu, prajurit tersebut harus dikorbankan.{nl}Ini adalah pengorbanan yang diperlukan untuk menyelamatkan kerajaan ini.{nl}keluarga dari prajurit tersebut akan diberikan kompensasi yang sesuai dengan pengorbanan mereka.{nl}	따라서 담당 병사는 살아남을 수 없다.{nl}하지만 왕국을 지키기 위해서는 어쩔 수 없는 희생이다.{nl}해당 병사의 가족에게는 희생에 따른 합당한 보상을 해주어야 한다.{nl}
QUEST_20161212_004327	Jika Solusi diatas diperkirakan tidak cukup untuk menghentikan mereka, kamu harus mengaktifkan The Cores pada Outer Walls	여기까지 진행되었지만 그것을 막지 못했다고 판단될 경우 외성벽에 연락해서 최후의 방법인 코어를 가동할 것을 지시한다.
QUEST_20161212_004328	Operation Orders	작전 지시서
QUEST_20161212_004329	Semua langkah yang sudah dipersiapkan harus diaktifkan pada saat Revelation Day.{nl}Bakar tembok dengan menggunakan Api dan semprotkan Withering Potion pada tempat yang dibutuhkan.{nl}kamu juga harus mengaktifkan Retrogression Magic Circle secepatnya untuk kembali ke tempat asal.{nl}perintah ini akan diprioritaskan diatas perintah lainnya dan harus dijalankan dengan cara apapun.	예언이 날이 되면 그것에 대비해 준비한 일들을 모두 실행해야 한다.{nl}성벽을 따라 불을 지르고 넘어오는 그것에는 급속 탈수액을 뿌린다.{nl}또한 역행 마법진을 동시에 가동해서 그것을 다시 되돌려야 한다.{nl}이 일은 그 어떠한 일보다 중요하며 절대 실패해서는 안 되는 삼중성벽의 최우선 사항이다.
QUEST_20161212_004330	Terdapat banyak botol yang diisi dengan Cairan berwarna Wine...	은은한 붉은 빛이 도는 액체가 담긴 병이 잔뜩 있다..
QUEST_20161212_004331	Inner Wall District 8 Management Book	내성벽 제 8구역 시설관리대장
QUEST_20161212_004332	......{nl}Semua magic circles diatur secara terpisah.{nl}kamu akan bisa memeriksa magic circles dengan menggunakan Magical Eye.{nl}mereka harus diatur sesuai dengan warna mereka, yang bisa dilihat saat menggunakan the Eye.{nl}The Magical Eye terdapat di dalam gudang.{nl}...	......{nl}마법진에 따라 관리하는 방법이 다르다.{nl}마법진은 마력의 눈을 이용해서 확인할 수 있다.{nl}마력의 눈으로 확인했을 때 빛나는 색에 따라 다르게 관리해야 한다.{nl}마력의 눈은 자재 관리실에 보관하고 있다.{nl}......
QUEST_20161212_004333	Magic Circle Maintenance Department	마법진 관리부
QUEST_20161212_004334	The Magical Eye menunjukka warna berbeda tergantung dengan tipe magic circle yang ada.{nl}Kuning melambangkan healing Properties dan hijau melambangkan Top secret military grade circles yang membutuhkan penanganan khusus.	마력의 눈은 마법진에 가까이 대면 마법진의 종류에 따라 다른 빛을 낸다.{nl}노란 빛이 나는 마법진은 상처를 치유하는 치유 마법진이며 녹색 빛이 나는 마법진은 최고급 기밀로 지켜지고 있는 마법진이므로 신중하게 다루어야 한다.
QUEST_20161212_004335	Karena Base property dari benda tersebut adalah tanaman, Saya percaya penelitian ini akan membantu pada saat yang ditentukan.{nl}Tidak, hal ini harus membantu pada saat hari tersebut datang.	그것의 근본은 식물이기에 그날이 오면 분명 이 연구가 도움이 될 것으로 생각한다.{nl}아니, 반드시 효과가 있어야 한다.
QUEST_20161212_004336	Penelitian ke dalam topik Chronomancy mtelah berhasil mengembalikan bunga yang mekar kepada kondisi kuncup.{nl}meskipun kita berhasil hanya dengan bunga kecil dalam jangka waktu yang pendek, hal ini tetap menunjukkan prospek yang cerah.	크로노맨서의 시간 마법을 연구한 결과 이미 만개한 꽃을 다시 되돌리는 성과를 얻었다,{nl}아직은 되돌릴 수 있는 시간도 짧고 아주 작은 꽃에만 적용되지만 희망이 보인다.
QUEST_20161212_004337	Kami menemukan bahwa getah dari tanaman tertentu membolehkan tanaman lain untuk tumbuh dengan cepat.{nl}Kita mungkin dapat membalikkan efek tersebut untuk memperkecil tanaman tersebut.	우연히 손에 넣은 이상 식물의 진액이 식물을 거대하게 성장시키는 효과가 있다는 것을 알았다.{nl}이것을 이용하면 반대로 작게 만드는 일이 가능할지도 모른다.
QUEST_20161212_004338	Kami mencoba menggunakan Chronomancy pada getah yang diperoleh sebelumnya.{nl}kami berhasil menghentikan pertumbuhan tanaman tersebut untuk sementara.{nl}magic ini tidak memiliki efek pada binatang, namun dapat memiliki efek kepada tanaman selama beberapa jam.	이전에 입수한 이상 식물의 진액에 시간 마법의 이론을 적용해봤다.{nl}그러자 생명체의 성장을 일시적으로나마 멈추는 효과를 볼 수 있었다.{nl}동물에게는 큰 효과를 기대할 수 없지만 식물에 사용하면 그럭저럭 몇 시간 정도 성장을 멈추는 것을 확인했다.
QUEST_20161212_004339	Kita berhasil memperoleh beberapa Poison dari Wugushi yang dipercaya sangat efektif kepada tanaman.{nl}Kami menggunakannya untuk membuat cairan berwarna Wine yang mampu mematikan tanaman dalamwaktu cepat.{nl}Saya percaya kita bisa menggunakan ini untuk mematikan tanaman besar dalam waktu hitungan menit.	무고사들이 쓴다는 독 중 식물에게 특히 효과가 좋은 독을 입수했다.{nl}이 독을 이용해 만들어낸 붉은 빛이 도는 약품은 수분과 반응하여 급속도로 마르게 하는 효과가 있다.{nl}이걸 이용하면 아무리 거대한 식물이라도 바싹 마르게 할 수 있을 것 같다.
QUEST_20161212_004340	Saya pikir kita mencapai hasil yang salah.{nl}Coba kita pikirkan teori lainnya.	그건 조금 잘못 생각한 것 같아요.{nl}다시 생각해보시고 말씀해주세요.
QUEST_20161212_004341	Aha...!{nl}Saya pikir kita telah menemukan rahasia dari the Wall!	아..!{nl}이제 삼중성벽의 비밀이 밝혀진 것 같아요!
QUEST_20161212_004342	Miko Master	무녀 마스터
QUEST_20161212_004343	Tunggu. Saya merasakan energi dari Divine Spirit berada di dalam dirimu.{nl}bagaimana mungkin?{nl}	잠깐. 당신에게서 신령의 기운이 느껴지는데?{nl}이게 어떻게 된 일이지?{nl}
QUEST_20161212_004344	Apakah itu... Gohei?{nl}Dia bahkan memiliki Divine Spirit berada di dalamnya.{nl}	그건.. 고헤이잖아?{nl}게다가 신령이 깃들어있네.{nl}
QUEST_20161212_004345	Ini mungkin berasal dari salah satu Miko Masters yang datang ke kerajaan ini dahulu kala.{nl}Hmm, Saya pikir kita dapat menggunakannya untuk menyelesaikan masalah yang menghantui kerajaan ini...	어쩌면 먼 옛날 왕국에 넘어왔던 선대 무녀의 물건일지도 몰라.{nl}그게 있다면 지금 왕국에 일어난 이변을 해결하는데 도움이 될 것 같은데..
