QUEST_LV_0200_20150317_000001	Philip's Soldiers	필리파스 직속 부대원
QUEST_LV_0200_20150714_008272	Lindungi saat terakhir tentara petrified seperti yang diminta Rail. Kembali ke Rail.	경비병 라일의 부탁대로 석화서리에 당한 동료들의 마지막을 지켜줬습니다. 라일에게 돌아갑시다.
QUEST_LV_0200_20150714_008273	Lindungi Petrified Soldiers	석화된 병사 보호
QUEST_LV_0200_20150714_008274	Dapatkan kembali Relic yang Rusak	훼손된 유물 회수
QUEST_LV_0200_20150714_008275	Guard Nomabis memintamu mendapatkan kembali relic yang rusak yang diminta Chronomancer Sabina. Sulit mencarinya jadi kamu harus sabar mencarinya.	경비병 노마비스는 크로노맨서 사비나가 부탁한 훼손된 유물을 구해달라고 부탁했습니다. 찾기가 쉽지 않다고 하니 끈기를 가지고 찾아 보세요.
QUEST_LV_0200_20150714_008276	Berikan ke Guard Nomabis	경비병 노마비스에게 전달
QUEST_LV_0200_20150714_008277	Menemukan relic yang rusak seperti yang diminta Nomabis. Kembali ke Nomabis.	경비병 노마비스의 요청대로 훼손된 유물을 찾았습니다. 노마비스에게 돌아갑시다.
QUEST_LV_0200_20150714_008278	Kumpulkan Damaged Relics	훼손된 유품 수집
QUEST_LV_0200_20150714_008279	Chronomancer Sabina bilang mungkin ada portal aktif diantara portal Earth Fortress yang menyebar sekitar Ruklys Street dan memintamu memeriksanya. Pergi dan periksa ke empat portal.	크로노맨서 사비나는 루클리스 거리에 흩어져있는 대지의 요새 포탈 중 아직 작동 가능한 것이 있을 거라며 확인해 달라고 했습니다. 네 개의 포탈을 모두 확인해 주세요.
QUEST_LV_0200_20150714_008280	Kalahkan monster sekitar Barrack District	군사지구 포탈 주변 몬스터 처치
QUEST_LV_0200_20150714_008281	Aktifkan portal Barrack District	군사 지구의 포탈 작동
QUEST_LV_0200_20150714_008282	Chronomancer Sabina memintamu memulai percobaan. Aktifkan portal di Barracks District.	크로노맨서 사비나는 실험을 시작해 달라고 부탁했습니다. 군사지구에 있는 포탈을 작동시키세요.
QUEST_LV_0200_20150714_008283	Kalahkan monster yang ada di jalan menuju Estuary Bank Junction.	하구 둑 삼거리 오는 길의 몬스터 처치
QUEST_LV_0200_20150714_008284	Adjutant General Hans memintamu mengalahkan monster yang ada di antara Downtown entrance dan Estuary Bank Junction untuk memastikan para graverobber bisa masuk.	부관 한스는 도굴꾼들을 들여와야 하는데 만전을 기해야 한다면서 중심시가 입구에서 하구 둑 삼거리 사이의 몬스터를 처치해 달라고 부탁했습니다.
QUEST_LV_0200_20150714_008285	Gunakan Monster Stimulant di Estuary Bank Junction	하구 둑 삼거리에서 광분제 사용
QUEST_LV_0200_20150714_008286	Adjutant General Hans ingin mengirim penjaga Kingdom Military ke tempat lain di Steponas. Pertama, gunakan Monster Stimulant pada monster di Estuary Bank Junction.	부관 한스는 스테포나스를 들이기 위해 왕국군 경비병을 다른 곳으로 보내고 싶어 합니다. 먼저 광분제를 하구 둑 삼거리의 몬스터에게 사용하세요.
QUEST_LV_0200_20150714_008287	Gunakan Monster Stimulant pada monster seperti yang diminta Adjutant General Hans. Kembali ke Hans.	부관 한스의 부탁대로 몬스터에게 광분제를 사용했습니다. 한스에게 돌아갑시다.
QUEST_LV_0200_20150714_008288	Pancing penjaga di Watermill Ruins	물레방앗길 폐허의 경비병 꾀어내기
QUEST_LV_0200_20150714_008289	Adjutant General Hans memintamu memanfaatkan amarah monster yang diakibatkan oleh Monster Stimulant untuk memancing penjaga dari Watermill Ruins.	부관 한스는 하구 둑 삼거리에서 광분제로 날뛰는 몬스터들의 소란을 빌미로 물레방앗길 폐허를 감시 중인 경비병들을 꾀어내 달라고 부탁했습니다.
QUEST_LV_0200_20150714_008290	Kamu telah mengalihkan perhatian penjaga untuk Graverobber Steponas bisa lewat seperti yang diminta Adjutant General Hans. Kembali ke Hans.	부관 한스의 요청대로 경비병들의 눈을 돌려 스테포나스가 지나가도록 도와주었습니다. 한스에게 돌아갑시다.
QUEST_LV_0200_20150714_008291	Adjutant General Hans memintamu mendapatkan kembali bahan propaganda yang disebarkan 600 tahun yang lalu oleh Kingdom Army untuk mendorong penyerahan diri. Bahan propaganda di sebarkan di Watermill Ruins.	분관 한스는 과거 600년 전에 항복을 권유하기 위해 뿌려진 왕국군의 선전물을 회수해달라고 부탁했습니다. 선전물은 물레방앗간 폐허에 부착되어 있습니다.
QUEST_LV_0200_20150714_008292	Kamu telah mendapatkan semua bahan propaganda yang terbuang oleh Kingdom Army 600 tahun lalu. Kembali ke Hans.	부관 한스의 요청대로 600년전에 왕국군이 살포한 선전물을 모두 회수 했습니다. 한스에게 돌아갑시다.
QUEST_LV_0200_20150714_008293	Mengumpulkan Hardened Gunpowder	굳은 화약 수집
QUEST_LV_0200_20150714_008294	Graverobber Steponas memintamu mengumpulkan bahan bom untuk mengambil Nuclear Core dari Stone Froster. Kalahkan monster skitar dan kumpulkan Hardened Gunpowder.	도굴꾼 스테포나스는 스톤프로스터에게서 서리핵을 꺼내기 위해 폭탄 재료를 수집하자고 제안 했습니다. 주변 몬스터들을 처치하여 굳은 화약을 수집합시다.
QUEST_LV_0200_20150714_008295	Kamu telah mengumpulkan hardened gun powder yang diminta oleh Graverobber Steponas. Kembali ke Graverobber Steponas	도굴꾼 스테포나스의 요청대로 굳은 화약을 충분히 수집했습니다. 스테포나스에게 돌아갑시다.
QUEST_LV_0200_20150714_008296	Processed Bomb Experiment	가공된 폭탄 실험
QUEST_LV_0200_20150714_008297	Graverobber Steponas memintamu menguji gun powder pada monster sebelum mencobanya. {nl}Lemparkan gun powder ke monster.	도굴꾼 스테포나스는 가공된 폭탄을 사용하기 앞서 몬스터에게 실험해달라고 부탁했습니다. 몬스터에게 가공된 폭탄을 던져 보세요.
QUEST_LV_0200_20150714_008298	Seperti yang diminta Graverobber Steponas kamu sudah memeriksa bagaimana kuatnya gun powder. Kamu tahu saat ini masih belum stabil untuk digunakan. Kembali ke Graverobber Steponas dan beritahu dia.	도굴꾼 스테포나스의 부탁대로 가공된 폭탄이 위력적인지 확인했습니다. 결과는 불안정하여 사용하기 적당하지 않은 것 같습니다. 스테포나스에게 돌아가서 알려줍시다.
QUEST_LV_0200_20150714_008299	Dapatkan cairan yang lengket	끈적이는 체액 수집
QUEST_LV_0200_20150714_008300	Graverobber Steponas memintamu menstabilkan gun powder yang tidak stabil dan untuk melakukannya kamu harus mengalahkan monster di Visko Sanctum Ruins dan dapatkan cairan yang lengket.	도굴꾼 스테포나스는 불안정한 폭탄을 안정화 시키기 위해서 비스카 성소 폐허의 몬스터를 처치하고 끈적이는 체액을 모아와 달라고 부탁했습니다.
QUEST_LV_0200_20150714_008301	Bicara dengan Graverobber Steponas	도굴꾼 스테포나스에게 전달
QUEST_LV_0200_20150714_008302	Seperti yang diminta Graverobber Steponas, kamu mendapatkan cukup lendir yang lengket. Kembali ke Graverobber Steponas.	도굴꾼 스테포나스의 요청대로 끈적이는 체액을 충분히 모았습니다. 스테포나스에게 돌아갑시다.
QUEST_LV_0200_20150714_008303	Graverobber Steponas memintamu mengalahkan Stone Frosters dan dapatkan nucleus frost yang diminta oleh Knights of Kaliss. Pertama bangunkan Stone Frosters dengan melemparkan bom kearah mereka.	도굴꾼 스테포나스는 칼리스 기사단이 부탁한 서리핵을 스톤프로스터를 처치하여 구해달라고 했습니다. 먼저 잠들어 있는 스톤프로스터에게 폭탄을 던져 스톤프로스터를 깨우세요.
QUEST_LV_0200_20150714_008304	Graverobber Steponas mendapatkan nuclues frost dari Stone Frosters. Kembali ke Graverobber Steponas.	도굴꾼 스테포나스가 부탁한 서리핵을 스톤프로스터로부터 구했습니다. 스테포나스에게 돌아갑시다.
QUEST_LV_0200_20150714_008305	Dapatkan nucleus frost dari Stone Frosters	스톤프로스터에게 서리핵 획득
QUEST_LV_0200_20150714_008306	Kalahkan monster di Kovos Hall	코보소 전당 터의 몬스터 처치
QUEST_LV_0200_20150714_008307	Wilhelmina Carriot memintamu mengalahkan para monster di Kovos Hall.	빌헬미나 캐리어트는 코보스 전당터의 몬스터들을 처치해 주면 사례를 하겠다고 합니다.
QUEST_LV_0200_20150714_008308	Bicara dengan Wilhelmina Carriot	빌헬미나 캐리어트에게 보고
QUEST_LV_0200_20150714_008309	Mengambil kembali Refreshing Tablet	상쾌한 알약 회수
QUEST_LV_0200_20150714_008310	Wilhelmina Carriot meminta tolong untuk mengambil kembali Cough Medicine yang diambil oleh para monster dari para prajurit yang membeku.	빌헬미나 캐리어트는 석화서리에 당한 병사들에게서 몬스터들이 가져간 기침약을 되찾아와 달라고 부탁했습니다.
QUEST_LV_0200_20150714_008311	Kumpulkan dark crystal	어두운 결정 수집
QUEST_LV_0200_20150714_008312	Bokor Edita memintamu memanggil host monster dan menemukan penyebab kutukan. Untuk membuat obat yang memanggil host monster, dia memintamu mengalahkan monster di Vienti Fortress dan kumpulkan dark crystal.	보코르 에디타는 사념체를 이끌어 내어 저주의 원인을 알아내려고 합니다. 사념체를 이끌어 낼 비약을 만들기 위해 비엔티 성채의 몬스터를 처치하고 어두운 결정을 모아와 달라고 부탁했습니다.
QUEST_LV_0200_20150714_008313	Serahkan ke Bokor Master	보코르 에디타에게 전달
QUEST_LV_0200_20150714_008314	kamu sudah mengumpulkan cukup dark crystal seperti yang diminta Bokor Edita. Kembali ke Edita.	보코르 에디타의 요청대로 어두운 결정을 충분히 수집했습니다. 에디타에게 돌아가세요.
QUEST_LV_0200_20150714_008315	Mengambil %s dari Monster di Vienti Fortress	비엔티 성채의 몬스터에게서 % 수집
QUEST_LV_0200_20150714_008316	Release the petrified soldier	석화된 병사 해방
QUEST_LV_0200_20150714_008317	Menyalahkan api pada Incense Burner di Vienti Fortress	비엔티 성채의 향로에 불 피우기
QUEST_LV_0200_20150714_008318	Bokor Edita telah meminta tolong untuk menyalakan api pada Incense Burner untuk mendengarkan cerita dari para iblis yang berkeliaran di kota ini.	보코르 에디타는 이 도시에 서린 사념들의 이야기를 듣기 위해 비엔티 성채에 설치된 향로의 불을 피워달라고 부탁했습니다.
QUEST_LV_0200_20150714_008319	Telah membakar Incense burner sesuai permintaan Bokor Edita. Kembalilah pada Edita.	보코르 에디타의 부탁대로 향로에 불을 피웠습니다. 에디타에게 돌아갑시다.
QUEST_LV_0200_20150714_008320	Gunakan melting solution ke monster di Nevekia Castle	네베키아 성채의 몬스터에게 석화 융해제 사용
QUEST_LV_0200_20150714_008321	Laporkan ke Alchemist Saliamonas	알케미스트 살리아모나스에게 보고
QUEST_LV_0200_20150714_008322	Kamu  menggunakan melting solution pada monster seperti yang disuruh Saliamonas, tapi kamu membuat mereka mawah. Kembali ke Saliamonas.	알케미스트 살리아모나스의 요청대로 석화 융해제를 몬스터들에게 사용해 보았으나 화만 돋구고 말았습니다. 살리아모나스에게 돌아갑시다.
QUEST_LV_0200_20150714_008323	Kumpulkan sample petrification dari monster di Nevekia Fortress	네베키아 성채의 몬스터에게서 석화 표본 수집
QUEST_LV_0200_20150714_008324	Saliamonas memintamu mendapatkan sampel petrification dengan mengalahkan monster di Nevekia Castle untuk percobaan obat baru.	알케미스트 살리아모나스는 시약 실험을 위해 네베키아 성채에서 몬스터들을 처치하고 석화 표본을 구해달라고 부탁했습니다.
QUEST_LV_0200_20150714_008325	kamu sudah mengumpulkan cukup sampel petrification seperti yang diminta Saliamonas. Kembali ke Saliamonas.	알케미스트 살리아모나스의 요청대로 석화 표본을 충분히 수집했습니다. 살리아모나스에게 돌아갑시다.
QUEST_LV_0200_20150714_008326	Bunuh Elite Monster di Nevekia Castle bagian atas	네베키아 성채 위쪽의 엘리트 몬스터 처치
QUEST_LV_0200_20150714_008327	Kalahkan Tetraox, yang bersembunyi di altar.	테트라옥스 처치
QUEST_LV_0200_20150714_008328	Tetraox sembunyi di altar ini,  dari jiwa-jiwa orang-orang yang tertahan. Kalahkan Tetraox.	이 제단에는 순례자들의 영혼이 속박되어 있는 것이 아니라 테트라옥스가 숨어 있었습니다. 위험해 지기 전에 테트라옥스를 처치하세요.
QUEST_LV_0200_20150714_008329	Kalahkan Tetraox yang sembunyi di altar	제단에 숨어 있던 테트라옥스 처치
QUEST_LV_0200_20150714_008330	Tempat suci ini rusak juga. Pergi ke Pardoner Master untuk meminta saran. Kamu bisa pindah dengan ke Pardoner Master dengan mudah jika kamu membeli warp scroll dari orang yang ada di sampingmu.	이 성소도 오염된 것 같으니 성소 관리자인 파드너 마스터를 찾아 조언을 구하세요. 바로 옆에 있는 판매대에서 파드너 마스터 앞으로 워프 할 수 있는 워프 주문서를 구입하면 쉽게 이동할 수 있습니다.
QUEST_LV_0200_20150714_008331	Bicara dengan Disciple Laius	제자 라이어스와 대화
QUEST_LV_0200_20150714_008332	Disciple Laius menunggu bantuan. Bicara dengan Disciple Laius.	제자 라이어스는 누군가의 도움을 기다리고 있습니다. 라이어스와 대화해보세요.
QUEST_LV_0200_20150714_008333	Cari orb yang dapat menyimpan vigor	영기를 담는 보주 수색
QUEST_LV_0200_20150714_008334	Disciple Laius ingin menyelesaikan orb yang dapat menyimpan vigor untuk mencari benda yang ditinggalkan master. {nl}Pertama, cari orb yang dapat menyimpan vigor dari kotak.	제자 라이어스는 스승이 남긴 물건을 찾기 위해 영기를 담는 보주를 완성시키고 싶어 합니다. 먼저 보관 상자에 숨겨둔 영기를 담는 보주를 찾아 가져오세요.
QUEST_LV_0200_20150714_008335	Serahkan ke Disciple Laius	제자 라이어스에게 전달
QUEST_LV_0200_20150714_008336	Kamu sudah menemukan orb yang dapat menyimpan vigor. Berikan ke Disciple Laius.	영기를 담는 보주를 찾았습니다. 제자 라이어스에게 가져가세요.
QUEST_LV_0200_20150714_008337	Kamu telah membuat orb yang dapat menyimpan cigor. Tanyakan Disciple Laius cara menggunakannya.	영기를 담는 보주를 제작했습니다. 이제 어떻게 사용하면 되는지 제자 라이어스에게 물어보세요.
QUEST_LV_0200_20150714_008338	Serap vigor dari monster	몬스터에게 영기 흡수
QUEST_LV_0200_20150714_008339	Untuk summon guide stone of the wisdom, Disciple Laius mengatakan bahwa dia mungkin membutuhkan vigor dari yang telah mati. Gunakan orb yang berisi vogor monster untuk menyerap vigor.	제자 라이어스는 지혜의 인도석을 소환하려면 죽은 자의 영기가 필요하다고 합니다. 몬스터들에게 영기를 담는 보주를 사용해서 영기를 흡수하세요.
QUEST_LV_0200_20150714_008340	Vigor yang terkumpul sudah cukup. Bicara dengan Raius apa yang harus dilakukan dengan vigor yang sudah terkumpul.	영기가 충분히 모였습니다. 모은 영기를 어떻게 해야할 지 제자 라이어스와 이야기해보세요.
QUEST_LV_0200_20150714_008341	Dengarkan petunjuk dari Disciple Laius tentang apa yang harus dilakukan dengan orb yang sudah terkumpul.	제자 라이어스에게 영기를 담는 보주에 모인 영기로 무엇을 해야 하는 지 들어보세요.
QUEST_LV_0200_20150714_008342	Masukkan vigor kedalam Hardened Astral Body Crystal	굳은 영체의 수정에 영기 주입
QUEST_LV_0200_20150714_008343	Masukkan vigor yang terkumpul kedalam Hardened Astral Body Crystal ke Maras Stone Chamber untuk summon  guide stone of the wisdom.	모아온 영기를 마라스 석실에 있는 굳은 영체의 수정에 주입해서 지혜의 인도석을 소환하세요.
QUEST_LV_0200_20150714_008344	Bicara dengan Disciple Hones	제자 호네스와 대화
QUEST_LV_0200_20150714_008345	Kamu sudah mendapatkan guide stone of the wisdom. Temui Disciple Hones dan bicara dengannya.	지혜의 인도석을 구했습니다. 제자 라이어스가 말한 제자 호네스를 찾아가 이야기해보세요.
QUEST_LV_0200_20150714_008346	Dapatkan %s dari Hardened Astral Body Crystal	굳은 영체의 수정에서 %s 획득
QUEST_LV_0200_20150714_008347	Minta Disciple Hones memberikan petunjuk master mana yang pergi.	제자 라이어스가 말하던 또 다른 제자 호네스에게 스승이 남긴 힌트를 달라고 말해보세요.
QUEST_LV_0200_20150714_008348	Periksa catatan master mana yang telah pergi	스승이 남긴 기록 확인
QUEST_LV_0200_20150714_008349	Disciple Hones memberitahumu bahwa Disciple Laius salah paham tentang sesuatu. Untuk mengetahui yang sebenarnya, periksa beberapa catatan dari persembunyian aster.	제자 호네스는 제자 라이어스가 착각을 하고 있다고 합니다. 사실을 확인하기 위해 스승의 은거지에서 스승이 남긴 여러 가지 기록들을 확인해보세요.
QUEST_LV_0200_20150714_008350	Yang dikatakan Disciple Hones padamu memang benar seperti yang terlihat pada catatan yang ditinggalkan master untukmu. Kembali ke Disciple Hones dan bicara dengannya lagi.	스승이 남긴 기록들을 살펴보니 제자 호네스의 말이 맞는 것 같습니다. 제자 호네스에게 돌아가 다시 이야기해보세요.
QUEST_LV_0200_20150714_008351	Preparations for the Dangerous Search	위험한 탐색 준비
QUEST_LV_0200_20150714_008352	Kamu bisa mendengarkan kebenaran dari Disciple Hones. Bicara dengan Disciple Hones.	제자 호네스에게는 진실을 들을 수 있을 것 같습니다. 제자 호네스와 대화해보세요.
QUEST_LV_0200_20150714_008353	Kumpulkan Eyes of Truth fragments	진실의 눈 파편 수집
QUEST_LV_0200_20150714_008354	Eyes of the truth yang melihat astral body hancur karena serangan monster. Gunakan guide stone of the wisdom untuk mengalahkan monster yang mempunyai eyes of the truth dan kumpulkan fragment.	영체를 보는 진실의 눈은 몬스터들의 습격으로 부서졌다고 합니다. 지혜의 인도석을 사용해서 부서진 진실의 눈 파편을 가진 몬스터를 처치해 파편을 모으세요.
QUEST_LV_0200_20150714_008355	Serahkan ke Disciple Hones	제자 호네스에게 전달
QUEST_LV_0200_20150714_008356	kamu telah mengumpulkan semua fragment Eyes of Truth. Pergi temui Disciple Hones dan kembalikan Eyes of Truth.	진실의 눈 파편을 모두 모았습니다. 제자 호네스에게 가서 진실의 눈을 복구하세요.
QUEST_LV_0200_20150714_008357	Kamu telah menyelesaikan Eyes of Truth. Tanyakan Disciple Hones apa yang harus kamu cari.	진실의 눈을 완성했습니다. 진실의 눈으로 무엇을 보면 되는지 제자 호네스에게 물어보세요.
QUEST_LV_0200_20150714_008358	Dapatkan Soul Crystal dengan mengalahkan Shadowgaler	섀도게일러를 처치해서 영혼의 결정 획득
QUEST_LV_0200_20150714_008359	Student Hones berkata Master ShadowGaoler yang memilikinya.	제자 호네스는 스승 섀도게일러가 가지고 있다고 합니다.
QUEST_LV_0200_20150714_008360	Kamu telah mendapatkan Soul Crystal. Kembali ke Disciple Hones dan dengarkan apa yang ia katakan.	영혼의 결정을 얻었습니다. 제자 호네스에게 돌아가 이야기를 들어보세요.
QUEST_LV_0200_20150714_008361	Beritahu dia apa yang kamu dengar dari Hones dan diary master.	호네스의 이야기와 스승의 일지를 본 이야기를 해 주세요.
QUEST_LV_0200_20150714_008362	Spatial Magic Gem of Contract	계약의 공간마석
QUEST_LV_0200_20150714_008363	Periksa Magic Gem Fusion Device	마석 융합기를 확인
QUEST_LV_0200_20150714_008364	Menurut memo Disciple Hones, kamu harus menggabungkan tiga Spatial Magic Gem kedalam Magic Gem Fusion Device.{nl}Periksa Magic Gem Fusion Device.	제자 호네스의 메모에 의하면 마석 융합기에 세 개의 공간마석을 융합해야 한다고 합니다.{nl}마석 융합기를 확인해보세요.
QUEST_LV_0200_20150714_008365	Dapatkan kembali fragment Spatial Magic Gem of Contract	계약의 공간마석 파편 회수
QUEST_LV_0200_20150714_008366	Hones's Memo : Spatial Magic Gem Contract ada di Reception Room, tapi aku dengar rusak. Monster mungkin mempunyai fragment itu.	호네스의 메모 : 계약의 공간마석은 접견실에 안치되어 있었는데 최근에 파괴되어 있더군. 아마 몬스터들이 그 파편을 가지고 있을 거야.
QUEST_LV_0200_20150714_008367	Dapatkan %s dari Reception Room	접견실에서 %s 회수
QUEST_LV_0200_20150714_008368	Aktifkan Magic Field of Preservation di Shrine of Remembrance	기억의 신당에 있는 보존 마법진 가동
QUEST_LV_0200_20150714_008369	Honas Memo : Jika telah mengumpulkan seluruh Contract's Magic Stone Fragment, pergilah ke Forgotten Priest's Grave. Kau dapat memulihkan Magic Stone pada Preserve Magic Circle yang ada di tempat itu.	호네스의 메모 : 계약의 마석 파편을 전부 수거했다면 잊혀진 성인의 무덤으로 가. 그 곳에 있는 보존 마법진에서 마석을 복원할 수 있어.
QUEST_LV_0200_20150714_008370	Lindungi Magic Field of Preservation	보존 마법진 보호
QUEST_LV_0200_20150714_008371	Masukkan Spatial Magic Gem kedalam Magic Gem Fusion Device	마석 융합기에 공간마석 투입
QUEST_LV_0200_20150714_008372	Hones's Memo : Jika kamu menemukan spatial magic gem, kembali ke fusion device. Jika kamu memasukkan semua magic gems, cara untuk menemukan riset master akan terbuka.	호네스의 메모 : 공간 마석을 찾거든 다시 마석 융합기로 돌아가. 모든 마석을 넣으면 스승님의 연구를 찾을 수 있는 길이 열릴 거야.
QUEST_LV_0200_20150714_008373	Restore %s	%s 복원
QUEST_LV_0200_20150714_008374	Spatial Magic Gem of Promise	약속의 공간마석
QUEST_LV_0200_20150714_008375	Kumpulkan Condensed Spite	응축된 원한 수집
QUEST_LV_0200_20150714_008376	Hones's Memo : Spatial Magic Gem of Promise bisa ditemukan di Siaura Mine. Pertama, gunakan Soul Crystal pada monster dan kumpulkan Condensed Spite.	호네스의 메모 : 약속의 공간마석은 시아우라 갱도에서 찾을 수 있지. 먼저 몬스터에게 영혼의 결정을 사용해서 응축된 원한을 모아.
QUEST_LV_0200_20150714_008377	Hancurkan Barrier Stone di Siaura Mine	시아우라 갱도의 결계석 파괴
QUEST_LV_0200_20150714_008378	Hones's Memo : Hancurkan barrier stone di Siaura Mine dengan Condensed Spite. Black Chaser akan mulai mengejarmu dari belakang, hinda dan pergi ke ujung tambang. Kamu akan bisa menemukan Spatial Magic Gem of Promise disana.	호네스의 메모 : 응축된 원한으로 시아우라 갱도에 있는 결계석을 부숴버려. 뒤에서 검은 추적자가 쫓아오겠지만 그걸 피해서 갱도의 끝으로 가면 약속의 공간 마석을 찾을 수 있어.
QUEST_LV_0200_20150714_008379	Hancurkan Barrier Stone	결계석 파괴
QUEST_LV_0200_20150714_008380	Lapisan pelindung yang melindungi Barrier Stone telah muncul. Hancurkan Barrier Stone dan dapatkan Sealed Spatial Magic Gem.	결계석을 보호하던 보호막이 사라졌습니다. 결계석을 파괴하고 봉인된 공간마석을 획득하세요.
QUEST_LV_0200_20150714_008381	Dapatkan Sealed Spatial Magic Gem dengan menghindari Black Chaser	검은 추적자를 피해 봉인된 공간마석 회수
QUEST_LV_0200_20150714_008382	Spatial Magic Gem of Sacrifice	제물의 공간마석
QUEST_LV_0200_20150714_008383	Temukan Templeshooter di Shrine of Remembrance	기억의 신당에서 템플슈터 수색
QUEST_LV_0200_20150714_008384	Hones's Memo : Templeshooter di Shrine of Remembrance pasti memiliki Spatial Magic Gem of Sacrifice. Wisdom Guiding Stone akan membantumu mencari Templeshooter.	호네스의 메모 : 제물의 공간마석은 기억의 신당에 있는 템플슈터 위치가 가지고 있어. 지혜의 인도석이 숨어 있는 템플슈터를 찾을 수 있도록 도울 수 있을 거야.
QUEST_LV_0200_20150714_008385	Temukan Templeshooter menggunakan Wisdom Guiding Stone	지혜의 인도석을 이용해서 템플슈터 수색
QUEST_LV_0200_20150714_008386	Periksa black shadow	검은 그림자 확인
QUEST_LV_0200_20150714_008387	Spertinya Wisdom Guiding Stone menemukan lokasi Templeshooter. Temukan black shadow dan periksa.	지혜의 인도석이 템플슈터의 위치를 파악한 것 같습니다. 검은 그림자를 찾아 살펴보세요.
QUEST_LV_0200_20150714_008388	Aktifkan Magic Gem Fusion Device	마석 융합기 가동
QUEST_LV_0200_20150714_008389	kamu sudah mengumpulkan semua Spatial Magic Gems. Aktifkan Magic Gem Fusion Device dan membuat Completed Spatial Magic Gem.	모든 공간마석을 다 모았습니다. 마석 융합기를 가동해서 완성된 공간마석을 만드세요.
QUEST_LV_0200_20150714_008390	Hones's Memo : Jika kamu menemukan semua tiga Spatial Magic Gems, kembali ke fusion device. Jika kamu memasukkan semua Magic Gems, cara menemukan riset master akan terbuka di Laudi Tower.	호네스의 메모 : 이 세 개의 공간 마석을 모두 찾거든 다시 마석 융합기로 돌아가. 모든 마석을 넣으면 라우디 누각에 스승님의 연구를 찾을 수 있는 길이 열릴 거야.
QUEST_LV_0200_20150714_008391	Aktifkan teleportation device ke Laudi Tower	라우디 누각에서 공간 이동 장치 가동
QUEST_LV_0200_20150714_008392	Gunakan Spatial Magic Gems yang telah selesai di teleportation device	공간 이동 장치에 완성된 공간마석 사용
QUEST_LV_0200_20150714_008393	Pindah ke area tersembunyi dengan memasukkan Completed Spatial Magic Gem ke alat fusion.	공간 이동 장치에 완성된 공간마석을 사용해서 숨겨진 장소로 이동하세요.
QUEST_LV_0200_20150714_008394	Periksa peninggalan master	스승의 유산 확인
QUEST_LV_0200_20150714_008395	Kamu telah menemukan lokasi tempat peninggalan master tersembunyi. Periksa peninggalan master.	스승의 유산이 숨겨져 있는 장소를 찾았습니다. 스승의 유산을 확인해보세요.
QUEST_LV_0200_20150714_008396	Kamu telah mendapatkan peninggalan master. Beritahu Disciple Hones tentang apa yang terjadi hingga saat ini.	스승의 유산을 얻었습니다. 지금까지의 일을 제자 호네스에게 전해주세요.
QUEST_LV_0200_20150714_008397	Passing Words	전하고 싶은 말
QUEST_LV_0200_20150714_008398	Bicara dengan wandering spirit	헤메는 영혼과 대화
QUEST_LV_0200_20150714_008399	Ada jiwa pengelana di Videntis Shrine. Tanyakan kenapa dia berkelana.	바이덴티스 신당을 헤메며 돌아다니는 영혼이 있습니다. 무슨 이유로 이곳에서 헤메고 있는지 물어보세요.
QUEST_LV_0200_20150714_008400	Cari petunjuk sekitar	주변에서 단서 찾기
QUEST_LV_0200_20150714_008401	Spirit ingin mengatakan sesuatu, tapi lalu menghilang. Temukan petunjuk yang ada di sekitar.	영혼은 무언가 말을 더 전하려다 사라져버렸습니다. 무슨 일인지 단서를 더 찾아보기 위해 주변을 수색해보세요.
QUEST_LV_0200_20150714_008402	Bicara dengan Kupole Vita	큐폴 비타와 대화
QUEST_LV_0200_20150714_008403	Kamu menemukan Kupole Vita saat dia mencari sesuatu. Tanyakan apa yang dia cari.	바이덴티스 신당에서 무언가를 찾고 있는 큐폴 비타를 발견했습니다. 큐폴 비타는 무엇을 하고 있었는지 물어보세요.
QUEST_LV_0200_20150714_008404	Temukan spirit yang tersisa dan bicara dengannya	다른 영혼들을 찾아서 대화
QUEST_LV_0200_20150714_008405	Kupole Vita mengatakan bahwa dia datang untuk mencari spirit yang menghilang. Temukan spirit yang tersisa dan bicara dengannya.	큐폴 비타는 사라진 영혼들을 찾아왔다고 합니다. 다른 영혼들을 찾아서 이야기를 더 들어보세요.
QUEST_LV_0200_20150714_008406	Cari benda yang digambarkan oleh spirit	영혼들이 말하는 물건 찾기
QUEST_LV_0200_20150714_008407	Spirit yang hilang pergi tanpa mengatakan apapun. Temukan benda dengan petunjuk yang dikatakan oleh spirit yang tersisa.	영혼들은 몇 마디 하지 못한채 전부 사라져버렸습니다. 영혼들이 말해준 단서를 통해 알아낸 물건을 찾아보세요.
QUEST_LV_0200_20150714_008408	Kamu telah menemukan Pot of Silence yang dibicarakan oleh spirit. Tapi ada energi menakutkan disekitarnya, bicara dengan Kupole Vita cara menghilangkannya.	영혼들이 말하던 침묵의 항아리를 발견했습니다. 하지만 불길한 기운이 항아리를 감싸고 있으니 어떻게 처리해야 할지 큐폴 비타와 이야기해보세요.
QUEST_LV_0200_20150714_008409	Hilangkan energi jahat yang mengitari sekitar Pot of Silence	침묵의 항아리 주변에서 응집된 사악한 기운 제거
