ETC_20150317_000001	Kepa	케파
ETC_20160524_021508	Kamu telah mendapatkan ancient materials.	모마된 고대 자료를 찾았습니다
ETC_20160524_021509	Letas' Sacred Tree kini terlihat {nl}Monster berekasi terhadap forest's energy dan mulai menyerang!	레타스의 신성한 나무는 보이지 않고 {nl}숲의 기운에 반응한 몬스터들이 달려듭니다!
ETC_20160524_021510	Ada sebuah panggilan untuk membantu Gatre pada instruction manual!{nl}Kembali ke Gatre setelah membereskan chest	설명서에는 가트레가 도움을 요청하는 내용이 적혀있습니다!{nl}상자를 정리한 후 가트레에게 돌아가세요
ETC_20160524_021511	Tidying Research Equipment	연구 물품 정리 중
ETC_20160524_021512	Memeriksa Document	문서 확인 중
ETC_20160524_021513	Kamu menemukan document yang disebutkan oleh Gatre	가트레가 말한 문서를 찾았습니다
ETC_20160524_021514	Kamu telah memeriksa document ini	이미 살펴본 문서입니다
ETC_20160524_021515	Sprinkling Tranquilizer Powder	마취 가루 뿌리는 중
ETC_20160524_021516	Mengumpulkan blood	혈액 채취 중
ETC_20160524_021517	Tidak ada target terdekat untuk menggunakan Tranquilizer Powder	주변에 마취가루를 사용할 대상이 없습니다
ETC_20160524_021518	Mencari leaves of overgrown plant	과성장한 식물의 잎사귀 찾는 중
ETC_20160524_021519	Mencari medicine yang sama	비슷한 약품 찾는 중
ETC_20160524_021520	Meletakkan bahan-bahan di magic circle	마법진에 재료를 올리는 중
ETC_20160524_021521	Kamu telah melepaskan magic dari tombstone{nl}Ambil completed liquid dari Transmutation Magic Circle	모든 비석의 마력을 해방했습니다{nl}연성 마법진에서 완성된 용액을 회수하세요
ETC_20160524_021522	Kamu harus menyimpan bahan-bahan di Transmutation Magic Circle{nl}Sekarang, lepaskan magic dari tombstone!	연성 마법진에 재료를 올려두었습니다{nl}이제 비석의 마력을 해방하세요!
ETC_20160524_021523	Pertama, baca instruksi manual yang diberikan oleh Gatre	가트레가 준 설명서를 먼저 읽으세요
ETC_20160524_021524	Kamu telah membereskan semua laboratory equipment{nl}Kembali ke Gatre	연구 물품을 모두 정리했습니다{nl}가트레에게 돌아가세요
ETC_20160524_021525	Seekor monster muncul dari tumpukan daun-daun!	잎사귀 더미에서 몬스터가 튀어나왔습니다!
ETC_20160524_021526	Pertama simpan bahan-bahan di Transmutation Magic Circle	먼저 연성 마법진 위에 재료를 올려두세요
ETC_20160524_021527	Tombstone telah melepaskan magic	이미 마력을 방출한 비석입니다
ETC_20160524_021528	Lepaskan magic dari tombstone	비석의 마력을 해방 중
ETC_20160524_021529	Magic dari tombstone telah direset karena kamu telah melepaskan dari arah yang salah{nl}Mohon lepaskan magic dari depan	잘못된 방향에서 해방하여 모든 비석의 마력이 초기화됩니다{nl}비석의 정면에서 마력을 해방하세요
ETC_20160524_021530	Mengambil completed liquid	완성된 용액 회수 중
ETC_20160524_021531	Kamu telah menemukan semua lost Research Notes{nl}Baca isi note	잃어버린 연구 일지를 모두 찾았습니다{nl}연구 일지에 적힌 내용을 읽어보세요
ETC_20160524_021532	Kamu tidak bisa membuka chest ini	상자를 열어볼 수 없습니다
ETC_20160524_021533	Ada monster didekatnya{nl}Kalahkan monster sebelum membuka chest	주변에 몬스터가 있습니다{nl}주변의 몬스터를 모두 처치하고 상자를 열어보세요
ETC_20160524_021534	Kamu telah memeriksa pot ini	이미 살펴본 항아리입니다
ETC_20160524_021535	Baca didekat Tidying Chest	정리 상자 근처에 가서 읽어보세요
ETC_20160524_021536	Ferret mulai menyerang	페릿이 덤벼듭니다.
ETC_20160524_021537	Kamu tertangkap oleh seorang Frozen Soldier	얼어붙은 병사에게 붙잡혔습니다
ETC_20160524_021538	Kamu gagal melindungi Lemija	레미야를 지키지 못했습니다
ETC_20160524_021539	Menyerap magic	마력 흡수 중
ETC_20160524_021540	Tidak banyak absorbed magic tersisa	흡수할 마력이 남아있지 않습니다
ETC_20160524_021541	Mari pergi menuju Soldier's Camp.	병사 주둔지 쪽으로 가요.
ETC_20160524_021542	Seal di sini sangat kuat.{nl}Ayo pergi ke sekitar Soldier's Camp.	여긴 결계가 너무 강력해요.{nl}병사 주둔지 쪽으로 돌아가요.
ETC_20160524_021543	Kamu gagal melindungi Lucienne.	루시엔을 지키지 못했습니다.
ETC_20160524_021544	Lucienne gagal berkonsentrasi pada mixing reagent	루시엔이 시약 배합에 집중하지 못했습니다
ETC_20160524_021545	Gunakan Reagent	시약 사용 중
ETC_20160524_021546	Menanam Herb Seed	약초 씨앗 심는 중
ETC_20160524_021547	Kamu telah menyerap demon's soul	마족의 영혼을 흡수했습니다
ETC_20160524_021548	Menyerap demon's soul	마족의 영혼을 흡수하는 중
ETC_20160524_021549	Menginject purified soul	정화된 영혼 주입 중
ETC_20160524_021550	Kamu telah menghancurkan Sinister Idol!	사악한 우상을 파괴했습니다!
ETC_20160524_021551	Apa... Inikah tree vine...?	이.. 나무 덩굴은 뭐죠..?
ETC_20160524_021552	Dominikas telah menipu kita!	도미니카스가 우릴 속인 거에요!
ETC_20160524_021553	Ah... Tak satu pun dari kami mengetahuinya...	아.. 이런 줄도 모르고 우리는..
ETC_20160524_021554	Ini... Apakah tree vine telah menyerang kita, bukan?	이건.. 우릴 공격했던 나무 덩굴이잖아?
ETC_20160524_021555	Kenapa... Kenapa kita disini?	우리가 왜.. 여기 있는 거지?
ETC_20160524_021556	Ugh... Kepalaku terasa seperti mau pecah...	으.. 머리가 깨질 듯이 아파..
ETC_20160524_021557	Kemana Dominikas lari?	도미니카스는 어디로 도망친거지?
ETC_20160524_021558	Apa... Apa yang terjadi disini...?	여기서.. 무슨 일이 일어난 거야..?
ETC_20160524_021559	Apa... Apa yang sudah kulakukan...	내가.. 내가 대체 무슨 짓을..
ETC_20160524_021560	Kamu telah menemukan kitab palsu!	거짓된 경전을 찾았습니다!
ETC_20160524_021561	Kamu gagal menemukan kitab palsu	거짓된 경전을 찾지 못했습니다
ETC_20160524_021562	Kamu gagal melindungi Villager Duncan	마을 주민 던컨을 지키지 못했습니다
ETC_20160524_021563	Demon ini mempunyai soul absorbed	이 마족은 영혼을 흡수당하고 있습니다
ETC_20160524_021564	Seekor demon tersembunyi muncul!	숨어있던 마족이 나타났습니다!
ETC_20160524_021565	Ambil sebuah batu	돌멩이 줍는 중
ETC_20160524_021566	Kamu telah menemukan sebuah batu berukuran cukup untuk dilempar	던지기 좋은 크기의 돌멩이를 찾았습니다
ETC_20160524_021567	Kamu telah mempunyai sebuah batu{nl}Lemparkan ke tengah magic circle	이미 돌멩이를 가지고 있습니다{nl}마법진의 중심을 향해 던져보세요
ETC_20160524_021568	Melemparkan batu	돌멩이 던지는 중
ETC_20160524_021569	Batu biasa tidak efektif	보통 돌멩이로는 효과가 없는 것 같습니다
ETC_20160524_021570	Orange Siaulav Horn Piece	주황 샤울라브의 뿔 조각
ETC_20160524_021571	Jukotail Coral Piece	유코테일의 산호 조각
ETC_20160524_021572	Green Magic Circle hilang karena gempa bumi!	지진과 함께 초록 마법진이 사라졌습니다!
ETC_20160524_021573	Blue Magic Circle hilang karena gempa bumi!	지진과 함께 파란 마법진이 사라졌습니다!
ETC_20160524_021574	Kamu mendapatkan piece of coral horn!	산호 뿔 조각을 얻었습니다!
ETC_20160524_021575	Lemparkan piece of coral horn	산호 뿔 조각 던지는 중
ETC_20160524_021576	Menyerap earth energy	대지의 기운을 흡수 중
ETC_20160524_021577	Kamu telah menyerap earth energy	대지의 기운을 흡수했습니다
ETC_20160524_021578	Kamu tidak bisa menyerap earth energy	대지의 기운을 흡수하지 못했습니다
ETC_20160524_021579	Kamu telah menyerap sea energy	바다의 기운을 흡수했습니다
ETC_20160524_021580	Earth energy menyelimuti Sea Magic Stone	바다의 마법석에 대지의 기운이 섞여듭니다
ETC_20160524_021581	Konsentrasi Lutas menjadi samar	루타스의 집중력이 흐려졌습니다
ETC_20160524_021582	Balancing Magic Circle telah selesai!	조화의 마법진이 완성되었습니다!
ETC_20160524_021583	Menginject energy of balance	조화의 기운을 주입하는 중
ETC_20160524_021584	Monster disekitar mengganggu injeksi energy!	주위의 몬스터가 기운 주입을 방해하려고 합니다!
ETC_20160524_021585	Sea energy tercampur dengan Earth Magic Stone	대지의 마법석에 바다의 기운이 섞여듭니다
ETC_20160524_021586	Kamu telah menyelesaikan Binding Magic Circle	구속 마법진을 완성했습니다
ETC_20160524_021587	Membuat Binding Magic Circle	구속 마법진 만드는 중
ETC_20160524_021588	Kamu tertangkap oleh Binding Magic Circle!	구속 마법진에 걸렸습니다!
ETC_20160524_021589	Kamu telah memancing monster ke dalam Binding Magic Circle	구속 마법진으로 몬스터를 유인했습니다
ETC_20160524_021590	Kamu telah menemukan dangerous Binding Magic Circle	위험한 구속 마법진을 찾았습니다
ETC_20160524_021591	Kamu tidak dapat menemukan dangerous Binding Magic Circle	위험한 구속 마법진을 찾지 못했습니다
ETC_20160524_021592	Magic circle telah menghilang	이미 마법진이 사라졌다
ETC_20160524_021593	Magic circle sudah dibuat disini	이 곳엔 이미 만들어놓은 마법진이 있습니다
ETC_20160524_021594	Gunakan Magic Searching Stone	마력 탐지석 사용 중
ETC_20160524_021595	Simonas! Monster kembali dari pit!	시모나스님! 채취장에 몬스터가 다시 몰려옵니다!
ETC_20160524_021596	Mayor, kita tidak bisa hidup seperti ini. Jika kita tidak bisa membayar upeti, kita harus menarik keluar.	촌장, 우리도 계속 이렇게 있을 수 없습니다. 공물을 못내겠다면 철수해야 합니다.
ETC_20160524_021597	Oh ya, Aku akan terburu-buru jika kamu pikir meminta menghukum ekspedisi. Itulah sebabnya kita kembali untuk mengumpulkan sedikit lebih cepat bukan?	아 참, 토벌을 부탁하시려면 빨리하시지요. 그래야 하루라도 빨리 다시 채취하지 않겠소?
ETC_20160524_021598	Kamu telah menemukan sebuah suspicious pouch	수상한 주머니를 발견했습니다
ETC_20160524_021599	Memeriksa Coral	산호 확인하는 중
ETC_20160524_021600	Old Tattered Bag	낡고 헤진 가방
ETC_20160524_021601	Mendeteksi Magic	마력 탐지중
ETC_20160524_021602	Detector bereaksi pada kekuatan Magic yang datang dari tas!	탐지기가 가방에서 뿜어져나온 마력에 반응하고 있습니다!
ETC_20160524_021603	Detector tidak bereaksi apapun.	탐지기는 아무런 반응을 보이지 않습니다
ETC_20160524_021604	Kamu telah menemukan Habitat Armin Coral !	아르님 산호의 서식지를 찾았습니다!
ETC_20160524_021605	Kamu telah memeriksa potongan Coral ini.	이미 확인한 산호 입니다
ETC_20160524_021606	Kamu telah menggali sebuah Suspicious Pouch	수상한 주머니를 파냈습니다
ETC_20160524_021607	Mayor Frege dan Soldier Basilius sedang mendekatimu	촌장 프레제와 파견병 바질리우스가 이 쪽으로 옵니다
ETC_20160524_021608	Prajurit itu sedang berjalan ke arahmu.	파견병이 이쪽으로 뛰어옵니다
ETC_20160524_021609	Seseorang sedang mendekatimu.	누군가 이쪽으로 오고있습니다
ETC_20160524_021610	Kamu tidak dapat berubah saat melakukan sebuah misi di wilayah ini.	해당 지역에서 퀘스트 도중에는 변신을 풀 수 없습니다.
ETC_20160524_021611	Kamu tidak berada di dalam Party?	파티에 속해있지 않습니다.
ETC_20160524_021612	Mengambil Storage Item(s) ?	창고 아이템을 획득하시겠습니까?
ETC_20160524_021613	Kamu tidak bisa menanam tanaman ini jika kamu bukan anggota Guild.	길드원이 아니면 작물을 심을 수 없습니다.
ETC_20160524_021614	Kamu tidak berpartisipadi di Guild Event	길드 이벤트에 참여하지 않았습니다.
ETC_20160524_021615	Guild member {Name} menerima {Item} (x{Count}) dari Guild Storage.	길드원 {Name}이 길드 보관함으로부터 {Item} {Count}개를 받았습니다.
ETC_20160524_021616	Kamu telah menerima item dari Guild Storage. Mengambil item di Lodge anda.	길드 보관함에 아이템을 수령했습니다. 숙소에서 아이템을 확인하세요.
ETC_20160524_021617	Kamu tidak dapat merubah menjadi Status Netral.	아직 중립상태를 변경할 수 없습니다.
ETC_20160524_021618	Kamu tidak dapat menggunakan item ini di Guild Hangouts.	다른 길드 아지트에서는 사용하실 수 없습니다.
ETC_20160524_021619	Apakah kamu ingin merubah Guild kamu menjadi Netral?{nl} Guild dengan Status Netral tidak bisa bergabung ke Guild Wars.{nl} Status netral akan dipertahankan pada {DAY} hari(s).	길드 중립 상태로 변경하시길 원합니까?{nl}중립 상태에서는 필드 전쟁이 불가능합니다.{nl}상태는 {DAY}동안 유지됩니다.
ETC_20160524_021620	Kamu telah merubah Guild kamu menjadi Netral. Kamu hanya dapat merubah status ini kembali setelah {DAY} hari (s).	길드가 중립 상태로 변경되었습니다. {DAY}이후에 상태를 재 변경 하실 수 있습니다.
ETC_20160524_021621	Kamu telah menonaktifkan Status Netral pada Guild. Kamu hanya dapat merubah status kembali setelah {DAY} hari (s).	길드 중립 상태가 해지되었습니다. {DAY}이후에 상태를 재 변경 하실 수 있습니다.
ETC_20160524_021622	Kamu tidak dapat merubah Guild kamu ke Status Netral selama Guild War.	길드 전쟁 중엔 중립 상태로 변경하실 수 없습니다.
ETC_20160524_021623	{@st42}[Status change available after {TIME}]	{@st42}[{TIME} 후 상태 변경 가능]
ETC_20160524_021624	Guild ini diatur ke Status Netral; kamu tidak dapat menyatakan Guild War	상대길드는 현재 중립 상태에 있어 전쟁 선포를 하실 수 없습니다.
ETC_20160524_021625	Guild ini diatur ke Status Netral; kamu tidak dapat menyatakan Guild War pada Guild lainnya.	당신의 길드는 현재 중립 상태에 있어 전쟁 선포를 하실 수 없습니다.
ETC_20160524_021626	Kamu hanya dapat menyatakan Guild War hingga pada 3 Guild yang berbeda	전쟁 선포는 최대 3개의 길드까지만 가능합니다.
ETC_20160524_021627	Kamu tidak dapat menyatakan Guild War tanpa Guild Tower.	길드 타워가 없으면 전쟁 선포를 하실 수 없습니다.
ETC_20160524_021628	Kamu hanya bisa menempatkan satu Bonfire. {nl} Bonfire sebelumnya telah dihapus.	한 개의 모닥불만 설치가 가능합니다. 기존 모닥불이 제거되었습니다.
ETC_20160524_021629	Kamu tidak dapat menjualnya	판매를 할 수 없는 상태입니다.
ETC_20160524_021630	Kamu tidak berada dalam kondisi yang sesuai untuk melakukan ini.	해당 액션을 할 수 있는 상태가 아닙니다.
ETC_20160524_021631	Informasi pada item telah berubah.	해당 아이템 정보가 변경되었습니다.
ETC_20160524_021632	Item telah terjual. Silahkan periksa Message Box kamu.	이미 판매된 아이템 입니다. 수령함을 확인해주세요.
ETC_20160524_021633	{#550000}Remaining Trades : {COUNT}{nl}{#0f0f0f}Potential Item berkurang{nl} setelah menempatkannya ke dalam Team Storage,{nl}tidak akan berkurang setelah dilepaskan.{nl}Apakah kamu ingin melanjutkannya ?	{#550000}남은 거래 횟수 : {COUNT}{nl}{#0f0f0f}해당 아이템을 팀 창고에 넣으면{nl}포텐셜이 감소합니다.{nl}하지만 팀 창고에서 꺼낼땐 포텐셜이 감소하지 않습니다.{nl}그래도 넣으시겠습니까?
ETC_20160524_021634	{#550000}Remaining Trades : {COUNT}{nl}{#0f0f0f}kamu akan kehilangan kemampuan untuk melakukan trade item ini{nl}setelah menempatkannya ke dalam Team Storage.{nl}Apakah kamu ingin melanjutkannya?	{#550000}남은 거래 횟수 : {COUNT}{nl}{#0f0f0f}해당 아이템을 팀 창고에 넣으면{nl}거래 가능한 아이템의 수량만큼 차감됩니다.{nl}그래도 넣으시겠습니까?
ETC_20160524_021635	{#FF0000}Remaining Trades : {COUNT}{nl}{#0f0f0f}Potential Item ini menurun{nl} setelah diletakkan ke dalam Team Storage,{nl}tetapi tidak akan menurun setelah dilepaskan.{nl}Apakah ingin melanjutkannya?	{#FF0000}남은 거래 횟수 : {COUNT}{nl}{#0f0f0f}해당 아이템을 팀 창고에 넣으면{nl}포텐셜이 감소합니다.{nl}하지만 팀 창고에서 꺼낼땐 포텐셜이 감소하지 않습니다.{nl}그래도 넣으시겠습니까?
ETC_20160524_021636	{#FF0000}Remaining Trades : {COUNT}{nl}{#0f0f0f}kamu akan kehilangan kemampuan untuk melakukan trade item{nl}setelah menempatkannya ke dalam Team Storage.{nl}Apakah kamu ingin melanjutkannya?	{#FF0000}남은 거래 횟수 : {COUNT}{nl}{#0f0f0f}해당 아이템을 팀 창고에 넣으면{nl}거래 가능한 아이템의 수량만큼 차감됩니다.{nl}그래도 넣으시겠습니까?
ETC_20160524_021637	Karakter lain saat ini sedang menggunakan Market. Silahkan mencobanya kembali.	다른 캐릭터가 상점을 사용중에 있습니다. 잠시 후에 다시 시도해 주세요.
ETC_20160524_021638	Kill Ranking	처치 랭킹
ETC_20160524_021639	Damage Ranking	피해량 랭킹
ETC_20160524_021640	Adventure Index Rank: {Rank}	모험지수 {Rank}위
ETC_20160524_021641	Report Bot	오토 의심유저 신고하기
ETC_20160524_021642	Laporkan {Name} sebagai pengguna Bot ?	{Name}님을 오토 유저로 신고하시겠습니까?
ETC_20160524_021643	{Name} telah dilaporkan. Terima kasih.	{Name}님에 대한 오토신고가 접수되었습니다. 감사합니다.
ETC_20160524_021644	Hanya {Job} (Circle {Grade}) yang bisa membelinya.	{Job} {Grade}서클만 구매 가능합니다.
ETC_20160524_021645	Kamu dapat menghidupkan kembali	잠시 후 부활합니다.
ETC_20160524_021646	{Name} memiliki {MonName} sampai terakhir mendapatkan {Point}	{MonName}을 마지막에 가지고 있던 {Name}이 {Point}포인트를 획득했습니다.
ETC_20160524_021647	Waktu yang tersisa sebelum pertandingan dimulai.	게임시작까지 남은 시간
ETC_20160524_021648	Waktu yang tersisa sebelum pertandingan berakhir	게임종료까지 남은 시간
ETC_20160524_021649	Permainan telah dimulai.	게임이 이미 시작되었습니다.
ETC_20160524_021650	Jumlah peserta yang diperbolehkan telah melebihi batas.	입장 인원이 초과되었습니다.
ETC_20160524_021651	Rank {Value}	{Value} 위
ETC_20160524_021652	{Win} Win {Lose} Lose	{Win}승 {Lose}패
ETC_20160524_021653	Weekly Standings akan direset setelah {Time}	{Time}후 주간 순위 갱신
ETC_20160524_021654	{Point} Points	{Point}점
ETC_20160524_021655	Rank {Rank}	{Rank}위
ETC_20160524_021656	TP Exchange Ticket	TP 교환권
ETC_20160524_021657	Guild Reward	길드 보상
ETC_20160524_021658	1st Standing Server Reward	1위 서버 보상
ETC_20160524_021659	TP Gratis + {Value} reset hingga Weekly Standing berikutnya	다음 주간 순위 갱신시까지 무료 TP+{Value}
ETC_20160524_021660	Masuk kembali pada Auto Party Matching 	자동파티찾기 재입장
ETC_20160524_021661	Kamu tidak bisa mencoba untuk memasangnya saat menggunakan skill.	해당 스킬 중엔 탑승을 시도할 수 없습니다.
ETC_20160524_021662	Kamu tidak bisa memakai atau melepaskan Equip Item saat menggunakan skill ini.	해당 스킬 중엔 장비 장착 및 해제를 할 수 없습니다.
ETC_20160524_021663	Dapat mempelajari Attribute secara instant.	특성 즉시 수련 가능
ETC_20160524_021664	Kamu telah memiliki Token Benefits. {nl}Menggunakan Token lainnya akan menumpuk :{nl}- Durasi Pemakaian;{nl}- Jumlah Personal Trades;{nl}Semua Benefit lainnya akan{nl} dipertahankan pada pemakaian yang sama.{nl}Apakah kamu tetap ingin menggunakannya?	이미 토큰 아이템의 혜택을 적용받고 있습니다. 그래도 적용하시겠습니까?{nl}만약 중첩하여 적용 하는 경우{nl}전체 사용 기간과 개인 거래 횟수가{nl}누적하여 추가되며 그외의 혜택은 동일한 수치로 유지됩니다.
ETC_20160524_021665	Token diaktifkan	토큰 사용
ETC_20160524_021666	Token dinonaktifkan	토큰 미사용
ETC_20160524_021667	[Alchemist Master]{nl}            Vaidotas	[알케미스트 마스터]{nl}
ETC_20160524_021668	Collector	추출기
ETC_20160524_021669	Plateau Sugar Beet Stems	고원 사탕무 줄기
ETC_20160524_021670	Tidying Chest	정리 상자
ETC_20160524_021671	Abandoned Document Chest	버려진 문서 상자
ETC_20160524_021672	Research Documents	연구 일지
ETC_20160524_021673	Pile of Leaves	잎사귀 더미
ETC_20160524_021674	Transmutation Magic Circle	연성 마법진
ETC_20160524_021675	Magic Harvesting Scarecrow	마력을 가두는 허수아비
ETC_20160524_021676	[Hoplite Master]{nl}    Aidas Valor	[하플라이트 마스터]{nl}    아이다스 베일러
ETC_20160524_021677	Sinister Idol	사악한 우상
ETC_20160524_021678	3F Purifier	3층 정화장치
ETC_20160524_021679	Magic Storing Tombstone	마력을 가두는 비석
ETC_20160524_021680	[Barbarian Master]{nl}      Walder Junnot	[바바리안 마스터]{nl}      윌더 저넛
ETC_20160524_021681	Menangkap Hanaming sebelum savior lainnya !	다른 플레이어보다 먼저 하나밍을 포획하세요!
ETC_20160524_021682	Hadiah Event telah diberikan kepada Guild Master.	길드 마스터에게 이벤트 보상이 지급되었습니다
ETC_20160524_021683	Kamu telah menyelesaikan Demon Uprising Event.	[마족 봉기] 이벤트를 완료했습니다
ETC_20160524_021684	Pertempuran telah dimulai!{nl}Hancurkan Opponent's Guild Tower lawan.	전투가 시작되었습니다. 상대방의 길드타워를 파괴하세요.
ETC_20160602_021685	Verifikasi GWarnet telah gagal. Tolong sertakan informasi erorr berikutnya.	젬스쿨 프리미엄 PC 인증이 실패하였습니다. 다음 에러 정보를 참조하세요.
ETC_20160602_021686	Request tidak dapat dilakukan pada area yang bersangkutan.	해당 지역에서 수행 불가능한 요청입니다.
ETC_20160602_021687	Penggunaan Steam Inventory	스팀 인벤토리 기능 사용 여부
ETC_20160602_021688	Neutralize Time (detik)	중립화 시간(초)
ETC_20160602_021689	Apakah anda yakin mau mengubah guild ke status netral?{nl} pada status netral tidak dapat melakukan field war.{nl} Tidak dapat mengubah status lagi selama {DAY} hari.	길드 중립 상태로 변경하시길 원합니까?{nl}중립 상태에서는 필드 전쟁이 불가능합니다.{nl}상태는 {DAY}동안 변경할 수 없습니다.
ETC_20160602_021690	Apakah anda ingin mencabut status netral guild?{nl} Setelah mencabut status maka dapat melakukan field war.{nl} Tidak dapat mengubah status lagi selama {DAY} hari.	길드 중립 상태를 해제하시길 원합니까?{nl}해제 후엔 필드 전쟁이 가능합니다.{nl}상태는 {DAY}동안 변경할 수 없습니다.
ETC_20160602_021691	Pembuatan mission telah gagal akibat server penuh. silahkan coba beberapa saat lagi.	서버가 혼잡하여 미션 생성을 실패하였습니다. 잠시 후 다시 시도해주세요.
ETC_20160616_021692	Gagal menerima eksternal IP.	외부 IP를 얻는데 실패하였습니다.
ETC_20160616_021693	Bisa mendapat 16 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 16 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021694	Bisa mendapat 33 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 33 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021695	Bisa mendapat 49 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 49 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021696	Bisa mendapat 66 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 66 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021697	Bisa mendapat 82 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 82 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021698	Bisa mendapat 99 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 99 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021699	Bisa mendapat 115 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 115 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021700	Bisa mendapat 132 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 132 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021701	Bisa mendapat 148 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 148 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021702	Bisa mendapat 165 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 165 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021703	Bisa mendapat 198 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 198 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021704	Bisa mendapat 330 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 330 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021705	Bisa mendapat 379 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 379 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021706	Bisa mendapat 445 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 445 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021707	Bisa mendapat 660 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 660 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021708	Bisa mendapat 990 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 990 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021709	Bisa mendapat 1650 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 1650 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021710	Bisa mendapat 3300 TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 3300 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021711	Bisa mendapat 6600TP ketika menggunakannya. Dengan memakainya ketika telah menerimanya di Inventory, tidak dapat melakukan pembatalan.	사용 시 6600 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.
ETC_20160616_021712	1 TP[Gift]	1 TP[증정용]
ETC_20160616_021713	Ketika digunakan mendapat 1 TP.	사용 시 1 TP를 획득합니다.
ETC_20160616_021714	2 TP[Gift]	2 TP[증정용]
ETC_20160616_021715	Ketika digunakan mendapat 2 TP.	사용 시 2 TP를 획득합니다.
ETC_20160616_021716	3 TP[Gift]	3 TP[증정용]
ETC_20160616_021717	Ketika digunakan mendapat 3 TP.	사용 시 3 TP를 획득합니다.
